field_name,variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind
GH 18,Athena,2026-W03,4,2026-W06,0.10598780925062747,0.8940121907493725,0.3482791050363131,-0.10598780925062747,99736.0,111560.0,raw
GH 18,Athena,2026-W04,3,2026-W06,0.045437432771602726,1.0454374327716027,0.3482791050363131,0.045437432771602726,116629.0,111560.0,raw
GH 18,Athena,2026-W05,2,2026-W06,0.9088831122266046,1.9088831122266046,0.3482791050363131,0.9088831122266046,212955.0,111560.0,raw
GH 18,Athena,2026-W06,1,2026-W06,0.6007619218357835,1.6007619218357834,0.3482791050363131,0.6007619218357835,178581.0,111560.0,raw
GH 2,Athena,2026-W03,4,2026-W06,0.21699823943661972,0.7830017605633803,0.25046466441226123,-0.21699823943661972,88949.0,113600.0,raw
GH 2,Athena,2026-W04,3,2026-W06,0.19034330985915493,0.8096566901408451,0.25046466441226123,-0.19034330985915493,91977.0,113600.0,raw
GH 2,Athena,2026-W05,2,2026-W06,0.3055721830985916,1.3055721830985916,0.25046466441226123,0.3055721830985916,148313.0,113600.0,raw
GH 2,Athena,2026-W06,1,2026-W06,0.11160211267605634,1.1116021126760562,0.25046466441226123,0.11160211267605634,126278.0,113600.0,raw
GH 26,Athena,2026-W03,4,2026-W06,0.5900791687283523,0.4099208312716477,0.5512062821029042,-0.5900791687283523,33138.0,80840.0,raw
GH 26,Athena,2026-W04,3,2026-W06,0.3254453240969817,0.6745546759030183,0.5512062821029042,-0.3254453240969817,54531.0,80840.0,raw
GH 26,Athena,2026-W05,2,2026-W06,0.16168975754576942,1.1616897575457694,0.5512062821029042,0.16168975754576942,93911.0,80840.0,raw
GH 26,Athena,2026-W06,1,2026-W06,0.6099208312716476,1.6099208312716478,0.5512062821029042,0.6099208312716476,130146.0,80840.0,raw
GH 28,Athena,2026-W03,4,2026-W06,0.2798628781453209,0.7201371218546792,0.4378497901671197,-0.2798628781453209,61131.0,84888.0,raw
GH 28,Athena,2026-W04,3,2026-W06,0.26017811704834604,0.739821882951654,0.4378497901671197,-0.26017811704834604,62802.0,84888.0,raw
GH 28,Athena,2026-W05,2,2026-W06,0.7150127226463104,1.7150127226463103,0.4378497901671197,0.7150127226463104,145584.0,84888.0,raw
GH 28,Athena,2026-W06,1,2026-W06,0.4748845537649609,1.4748845537649609,0.4378497901671197,0.4748845537649609,125200.0,84888.0,raw
GH 35,Athena,2026-W03,4,2026-W06,0.42261986301369864,0.5773801369863014,0.2089051865043579,-0.42261986301369864,67438.0,116800.0,raw
GH 35,Athena,2026-W04,3,2026-W06,0.40678938356164385,0.5932106164383562,0.2089051865043579,-0.40678938356164385,69287.0,116800.0,raw
GH 35,Athena,2026-W05,2,2026-W06,0.2358390410958904,0.7641609589041096,0.2089051865043579,-0.2358390410958904,89254.0,116800.0,raw
GH 35,Athena,2026-W06,1,2026-W06,0.1138013698630137,0.8861986301369863,0.2089051865043579,-0.1138013698630137,103508.0,116800.0,raw
GH 4,Athena,2026-W03,4,2026-W06,0.2628475935828877,0.7371524064171123,0.2575323740310796,-0.2628475935828877,55139.0,74800.0,raw
GH 4,Athena,2026-W04,3,2026-W06,0.3230080213903743,0.6769919786096257,0.2575323740310796,-0.3230080213903743,50639.0,74800.0,raw
GH 4,Athena,2026-W05,2,2026-W06,0.0943716577540107,1.0943716577540108,0.2575323740310796,0.0943716577540107,81859.0,74800.0,raw
GH 4,Athena,2026-W06,1,2026-W06,0.12442513368983957,1.1244251336898397,0.2575323740310796,0.12442513368983957,84107.0,74800.0,raw
GH 48,Athena,2026-W03,4,2026-W06,0.4815466312645204,1.4815466312645205,0.3965812571168427,0.4815466312645204,44639.0,30130.0,raw
GH 48,Athena,2026-W04,3,2026-W06,0.8113176236309326,1.8113176236309325,0.3965812571168427,0.8113176236309326,54575.0,30130.0,raw
GH 48,Athena,2026-W05,2,2026-W06,1.7860604049120479,2.786060404912048,0.3965812571168427,1.7860604049120479,83944.0,30130.0,raw
GH 48,Athena,2026-W06,1,2026-W06,2.5916030534351147,3.5916030534351147,0.3965812571168427,2.5916030534351147,108215.0,30130.0,raw
