field_name,variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind
1A,Athena,2025-W50,4,2026-W01,0.23346049046321526,0.7665395095367847,0.07524428285627888,-0.23346049046321526,28132.0,36700.0,raw
1A,Athena,2025-W51,3,2026-W01,0.0885558583106267,0.9114441416893733,0.07524428285627888,-0.0885558583106267,33450.0,36700.0,raw
1A,Athena,2025-W52,2,2026-W01,0.10741144414168938,0.8925885558583107,0.07524428285627888,-0.10741144414168938,32758.0,36700.0,raw
1A,Athena,2026-W01,1,2026-W01,0.14825613079019073,0.8517438692098093,0.07524428285627888,-0.14825613079019073,31259.0,36700.0,raw
1B,Athena,2025-W50,4,2026-W01,0.4624324324324324,0.5375675675675675,0.25822419678541425,-0.4624324324324324,21879.0,40700.0,raw
1B,Athena,2025-W51,3,2026-W01,0.5021375921375921,0.4978624078624079,0.25822419678541425,-0.5021375921375921,20263.0,40700.0,raw
1B,Athena,2025-W52,2,2026-W01,0.1404914004914005,0.8595085995085995,0.25822419678541425,-0.1404914004914005,34982.0,40700.0,raw
1B,Athena,2026-W01,1,2026-W01,0.2673710073710074,0.7326289926289926,0.25822419678541425,-0.2673710073710074,29818.0,40700.0,raw
1C,Athena,2025-W50,4,2026-W01,0.5689569160997733,0.4310430839002268,0.3180035273319178,-0.5689569160997733,19009.0,44100.0,raw
1C,Athena,2025-W51,3,2026-W01,0.2898639455782313,0.7101360544217687,0.3180035273319178,-0.2898639455782313,31317.0,44100.0,raw
1C,Athena,2025-W52,2,2026-W01,0.011065759637188208,0.9889342403628117,0.3180035273319178,-0.011065759637188208,43612.0,44100.0,raw
1C,Athena,2026-W01,1,2026-W01,0.25839002267573696,0.741609977324263,0.3180035273319178,-0.25839002267573696,32705.0,44100.0,raw
2B,Athena,2025-W50,4,2026-W01,0.6097522522522523,0.39024774774774773,0.1960587004069816,-0.6097522522522523,17327.0,44400.0,raw
2B,Athena,2025-W51,3,2026-W01,0.40335585585585587,0.5966441441441441,0.1960587004069816,-0.40335585585585587,26491.0,44400.0,raw
2B,Athena,2025-W52,2,2026-W01,0.4788513513513514,0.5211486486486486,0.1960587004069816,-0.4788513513513514,23139.0,44400.0,raw
2B,Athena,2026-W01,1,2026-W01,0.5790315315315315,0.42096846846846847,0.1960587004069816,-0.5790315315315315,18691.0,44400.0,raw
2C,Athena,2025-W50,4,2026-W01,0.2219088319088319,1.2219088319088318,0.3002645322468507,0.2219088319088319,42889.0,35100.0,raw
2C,Athena,2025-W51,3,2026-W01,0.19131054131054132,1.1913105413105414,0.3002645322468507,0.19131054131054132,41815.0,35100.0,raw
