variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind,n_fields
Abeba,2025-W50,4,2026-W01,4.846153846153846,5.846153846153846,0.24442381291661988,4.846153846153846,456.0,78.0,raw,1
Abeba,2025-W51,3,2026-W01,2.4615384615384617,3.4615384615384617,0.24442381291661988,2.4615384615384617,270.0,78.0,raw,1
Abeba,2025-W52,2,2026-W01,4.564102564102564,5.564102564102564,0.24442381291661988,4.564102564102564,434.0,78.0,raw,1
Abeba,2026-W01,1,2026-W01,3.051282051282051,4.051282051282051,0.24442381291661988,3.051282051282051,316.0,78.0,raw,1
Alicia,2025-W50,4,2026-W01,0.025293028994447873,1.025293028994448,0.4672681542306884,0.025293028994447873,1662.0,1621.0,raw,1
Alicia,2025-W51,3,2026-W01,0.06909315237507711,1.069093152375077,0.4672681542306884,0.06909315237507711,1733.0,1621.0,raw,1
Alicia,2025-W52,2,2026-W01,1.0913016656384948,2.0913016656384946,0.4672681542306884,1.0913016656384948,3390.0,1621.0,raw,1
Alicia,2026-W01,1,2026-W01,0.21838371375694016,0.7816162862430598,0.4672681542306884,-0.21838371375694016,1267.0,1621.0,raw,1
Azore,2025-W50,4,2026-W01,3.1976375684240854,4.197637568424085,0.4245127216447281,3.1976375684240854,14570.0,3471.0,raw,3
Azore,2025-W51,3,2026-W01,0.2950158455776433,1.2408527801786229,0.4245127216447281,0.24085278017862288,4307.0,3471.0,raw,3
Azore,2025-W52,2,2026-W01,2.156439066551426,3.156439066551426,0.4245127216447281,2.156439066551426,10956.0,3471.0,raw,3
Azore,2026-W01,1,2026-W01,1.950734658599827,2.9507346585998273,0.4245127216447281,1.950734658599827,10242.0,3471.0,raw,3
Babe,2025-W50,4,2026-W01,2.2215538847117795,3.2215538847117795,0.4041597143391967,2.2215538847117795,12854.0,3990.0,raw,2
Babe,2025-W51,3,2026-W01,0.23157894736842105,1.231578947368421,0.4041597143391967,0.23157894736842105,4914.0,3990.0,raw,2
Babe,2025-W52,2,2026-W01,1.7353383458646616,2.735338345864662,0.4041597143391967,1.7353383458646616,10914.0,3990.0,raw,2
Babe,2026-W01,1,2026-W01,0.762406015037594,1.762406015037594,0.4041597143391967,0.762406015037594,7032.0,3990.0,raw,2
Bandolero,2025-W50,4,2026-W01,1.5784832451499118,2.4074074074074074,0.35241800685547964,1.4074074074074074,5460.0,2268.0,raw,2
Bandolero,2025-W51,3,2026-W01,0.4651675485008818,0.9792768959435626,0.35241800685547964,-0.02072310405643739,2221.0,2268.0,raw,2
Bandolero,2025-W52,2,2026-W01,1.1216931216931216,1.808641975308642,0.35241800685547964,0.808641975308642,4102.0,2268.0,raw,2
Bandolero,2026-W01,1,2026-W01,1.001763668430335,1.5396825396825398,0.35241800685547964,0.5396825396825397,3492.0,2268.0,raw,2
Bellalinda Cerise,2025-W50,4,2026-W01,0.23481451284141866,0.7651854871585814,0.42351295285135604,-0.23481451284141866,1877.0,2453.0,raw,3
Bellalinda Cerise,2025-W51,3,2026-W01,0.2984101100693029,1.0293518141051774,0.42351295285135604,0.029351814105177332,2525.0,2453.0,raw,3
Bellalinda Cerise,2025-W52,2,2026-W01,0.5849979616795761,1.584997961679576,0.42351295285135604,0.5849979616795761,3888.0,2453.0,raw,3
Bellalinda Cerise,2026-W01,1,2026-W01,0.3754586220953934,0.6245413779046066,0.42351295285135604,-0.3754586220953934,1532.0,2453.0,raw,3
Birds Nest,2025-W50,4,2026-W01,0.6767015706806283,0.32329842931937175,0.7603704034492376,-0.6767015706806283,247.0,764.0,raw,1
Birds Nest,2025-W51,3,2026-W01,0.43455497382198954,0.5654450261780105,0.7603704034492376,-0.43455497382198954,432.0,764.0,raw,1
Birds Nest,2025-W52,2,2026-W01,0.8520942408376964,1.8520942408376964,0.7603704034492376,0.8520942408376964,1415.0,764.0,raw,1
Birds Nest,2026-W01,1,2026-W01,0.19895287958115182,0.8010471204188482,0.7603704034492376,-0.19895287958115182,612.0,764.0,raw,1
