variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind,n_fields
Athena,2025-W50,4,2026-W01,0.18821717020640144,0.9753604546814238,0.12860021971117463,-0.02463954531857613,326063.0,334300.0,final,8
Athena,2025-W51,3,2026-W01,0.24190248279988036,1.189937182171702,0.12860021971117463,0.18993718217170205,397796.0,334300.0,final,8
Athena,2025-W52,2,2026-W01,0.12706551002093927,0.9454860903380198,0.12860021971117463,-0.054513909661980255,316076.0,334300.0,final,8
Charmant,2025-W50,4,2026-W01,0.22977955520873977,1.0334666406554818,0.16949273526562056,0.033466640655481855,211902.0,205040.0,final,6
Charmant,2025-W51,3,2026-W01,0.21034920015606712,0.9755754974639095,0.16949273526562056,-0.02442450253609052,200032.0,205040.0,final,6
Charmant,2025-W52,2,2026-W01,0.33112075692547793,0.7402019118220835,0.16949273526562056,-0.2597980881779165,151771.0,205040.0,final,6
Confidential,2025-W50,4,2026-W01,0.07525241675617615,1.0171213748657357,0.032855701570995786,0.01712137486573577,47347.0,46550.0,final,2
Confidential,2025-W51,3,2026-W01,0.08274973147153598,1.082749731471536,0.032855701570995786,0.08274973147153598,50402.0,46550.0,final,2
Confidential,2025-W52,2,2026-W01,0.06953813104189044,1.0695381310418905,0.032855701570995786,0.06953813104189044,49787.0,46550.0,final,2
Madam Red,2025-W50,4,2026-W01,12.146951219512195,13.146951219512195,1.0136724064292575,12.146951219512195,21561.0,1640.0,final,1
Madam Red,2025-W51,3,2026-W01,2.148780487804878,3.148780487804878,1.0136724064292575,2.148780487804878,5164.0,1640.0,final,1
Madam Red,2025-W52,2,2026-W01,0.9243902439024391,1.924390243902439,1.0136724064292575,0.9243902439024391,3156.0,1640.0,final,1
Maritim,2025-W50,4,2026-W01,0.8542284866468842,1.8542284866468843,0.12229673116997604,0.8542284866468842,49990.0,26960.0,final,1
Maritim,2025-W51,3,2026-W01,0.787759643916914,1.7877596439169139,0.12229673116997604,0.787759643916914,48198.0,26960.0,final,1
Maritim,2025-W52,2,2026-W01,0.4650222551928783,1.4650222551928784,0.12229673116997604,0.4650222551928783,39497.0,26960.0,final,1
Memory Lane,2025-W50,4,2026-W01,0.14162520729684908,1.1416252072968491,0.03647430323869525,0.14162520729684908,34420.0,30150.0,final,2
Memory Lane,2025-W51,3,2026-W01,0.13724709784411276,1.1372470978441127,0.03647430323869525,0.13724709784411276,34288.0,30150.0,final,2
Memory Lane,2025-W52,2,2026-W01,0.21286898839137644,1.2128689883913764,0.03647430323869525,0.21286898839137644,36568.0,30150.0,final,2
Moon Walk,2025-W50,4,2026-W01,0.19091216216216217,0.888445945945946,0.03229048915320123,-0.11155405405405405,52596.0,59200.0,final,2
Moon Walk,2025-W51,3,2026-W01,0.11836148648648649,0.9472804054054054,0.03229048915320123,-0.0527195945945946,56079.0,59200.0,final,2
Moon Walk,2025-W52,2,2026-W01,0.11964527027027028,0.925152027027027,0.03229048915320123,-0.07484797297297298,54769.0,59200.0,final,2
Odilia,2025-W50,4,2026-W01,0.08342857142857144,0.9165714285714286,0.0583461133939789,-0.08342857142857144,10426.0,11375.0,final,1
Odilia,2025-W51,3,2026-W01,0.11525274725274726,0.8847472527472527,0.0583461133939789,-0.11525274725274726,10064.0,11375.0,final,1
Odilia,2025-W52,2,2026-W01,0.18312087912087913,0.8168791208791208,0.0583461133939789,-0.18312087912087913,9292.0,11375.0,final,1
Pink Athena,2025-W50,4,2026-W01,0.3160184119677791,0.683981588032221,0.03255738176641848,-0.3160184119677791,89157.0,130350.0,final,2
Pink Athena,2025-W51,3,2026-W01,0.3184349827387802,0.6815650172612198,0.03255738176641848,-0.3184349827387802,88842.0,130350.0,final,2
Pink Athena,2025-W52,2,2026-W01,0.27804372842347524,0.7219562715765248,0.03255738176641848,-0.27804372842347524,94107.0,130350.0,final,2
Red Ribbon,2025-W50,4,2026-W01,0.18604255319148935,0.9539063829787234,0.015687382928104388,-0.046093617021276595,56042.0,58750.0,final,4
Red Ribbon,2025-W51,3,2026-W01,0.1372936170212766,0.952136170212766,0.015687382928104388,-0.047863829787234045,55938.0,58750.0,final,4
Red Ribbon,2025-W52,2,2026-W01,0.08141276595744681,0.9274042553191489,0.015687382928104388,-0.07259574468085106,54485.0,58750.0,final,4
Royal Athena,2025-W50,4,2026-W01,0.09562256809338521,1.0956225680933853,0.10972549434950339,0.09562256809338521,168945.0,154200.0,final,3
Royal Athena,2025-W51,3,2026-W01,0.21810635538261997,1.21810635538262,0.10972549434950339,0.21810635538261997,187832.0,154200.0,final,3
Royal Athena,2025-W52,2,2026-W01,0.1448313878080415,0.9773735408560311,0.10972549434950339,-0.022626459143968873,150711.0,154200.0,final,3
Snow Flake,2025-W50,4,2026-W01,0.2532776617954071,0.7467223382045929,0.04466384548689701,-0.2532776617954071,8942.0,11975.0,final,1
Snow Flake,2025-W51,3,2026-W01,0.314321503131524,0.685678496868476,0.04466384548689701,-0.314321503131524,8211.0,11975.0,final,1
Snow Flake,2025-W52,2,2026-W01,0.26572025052192066,0.7342797494780793,0.04466384548689701,-0.26572025052192066,8793.0,11975.0,final,1
Tacazzi,2025-W50,4,2026-W01,0.05520291363163372,0.9447970863683662,0.06352881916507175,-0.05520291363163372,90795.0,96100.0,final,3
Tacazzi,2025-W51,3,2026-W01,0.07155046826222684,0.9981269510926118,0.06352881916507175,-0.0018730489073881373,95920.0,96100.0,final,3
Tacazzi,2025-W52,2,2026-W01,0.13626430801248698,1.0719354838709678,0.06352881916507175,0.07193548387096774,103013.0,96100.0,final,3
Tamara,2025-W50,4,2026-W01,0.1366842830882353,0.9033892463235295,0.07854962109767642,-0.09661075367647058,78631.0,87040.0,final,4
Tamara,2025-W51,3,2026-W01,0.16825597426470587,1.0353745404411765,0.07854962109767642,0.03537454044117647,90119.0,87040.0,final,4
Tamara,2025-W52,2,2026-W01,0.16970358455882353,1.0415096507352941,0.07854962109767642,0.04150965073529412,90653.0,87040.0,final,4
Thriller,2025-W50,4,2026-W01,0.23321092700403045,0.7975459023734885,0.11875023611103598,-0.20245409762651143,89046.0,111650.0,final,3
Thriller,2025-W51,3,2026-W01,0.20822212270488133,0.8603493058665472,0.11875023611103598,-0.13965069413345274,96058.0,111650.0,final,3
Thriller,2025-W52,2,2026-W01,0.07798477384684281,1.003090013434841,0.11875023611103598,0.0030900134348410212,111995.0,111650.0,final,3
