variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind,n_fields
Athena,2025-W51,4,2026-W02,0.542787048292629,0.5578251740523815,0.10651127293712263,-0.44217482594761853,252388.0,452450.0,raw,8
Athena,2025-W52,3,2026-W02,0.36329981213393747,0.7113117471543817,0.10651127293712263,-0.2886882528456183,321833.0,452450.0,raw,8
Athena,2026-W01,2,2026-W02,0.40633219140236493,0.6019029727041663,0.10651127293712263,-0.3980970272958338,272331.0,452450.0,raw,8
Athena,2026-W02,1,2026-W02,0.33681290750359155,0.6631870924964084,0.10651127293712263,-0.33681290750359155,300059.0,452450.0,raw,8
Charmant,2025-W51,4,2026-W02,0.3069419237749546,0.907601880877743,0.2796010114315435,-0.09239811912225705,220039.0,242440.0,raw,6
Charmant,2025-W52,3,2026-W02,0.3510848044877083,0.8243565418247814,0.2796010114315435,-0.17564345817521862,199857.0,242440.0,raw,6
Charmant,2026-W01,2,2026-W02,0.5480531265467744,0.45194687345322554,0.2796010114315435,-0.5480531265467744,109570.0,242440.0,raw,6
Charmant,2026-W02,1,2026-W02,0.3570285431446956,0.6752763570367926,0.2796010114315435,-0.3247236429632074,163714.0,242440.0,raw,6
Confidential,2025-W51,4,2026-W02,0.4124071082390953,0.5875928917609047,0.07632241780765517,-0.4124071082390953,36372.0,61900.0,raw,2
Confidential,2025-W52,3,2026-W02,0.3334571890145396,0.6665428109854604,0.07632241780765517,-0.3334571890145396,41259.0,61900.0,raw,2
Confidential,2026-W01,2,2026-W02,0.29439418416801294,0.7056058158319871,0.07632241780765517,-0.29439418416801294,43677.0,61900.0,raw,2
Confidential,2026-W02,1,2026-W02,0.3608239095315024,0.6391760904684975,0.07632241780765517,-0.3608239095315024,39565.0,61900.0,raw,2
Madam Red,2025-W51,4,2026-W02,0.31580459770114944,0.6841954022988506,0.34259478873199206,-0.31580459770114944,7143.0,10440.0,raw,1
Madam Red,2025-W52,3,2026-W02,0.4210727969348659,0.5789272030651341,0.34259478873199206,-0.4210727969348659,6044.0,10440.0,raw,1
Madam Red,2026-W01,2,2026-W02,0.4338122605363985,0.5661877394636016,0.34259478873199206,-0.4338122605363985,5911.0,10440.0,raw,1
Madam Red,2026-W02,1,2026-W02,0.7333333333333333,0.26666666666666666,0.34259478873199206,-0.7333333333333333,2784.0,10440.0,raw,1
Maritim,2025-W51,4,2026-W02,0.2167184265010352,1.2167184265010351,0.23989699805418696,0.2167184265010352,47014.0,38640.0,raw,1
Maritim,2025-W52,3,2026-W02,0.2163302277432712,1.2163302277432713,0.23989699805418696,0.2163302277432712,46999.0,38640.0,raw,1
Maritim,2026-W01,2,2026-W02,0.06687370600414079,0.9331262939958592,0.23989699805418696,-0.06687370600414079,36056.0,38640.0,raw,1
Maritim,2026-W02,1,2026-W02,0.2877329192546584,0.7122670807453416,0.23989699805418696,-0.2877329192546584,27522.0,38640.0,raw,1
Memory Lane,2025-W51,4,2026-W02,0.43169270833333334,0.5683072916666667,0.21964122475228076,-0.43169270833333334,21823.0,38400.0,raw,2
Memory Lane,2025-W52,3,2026-W02,0.08510416666666666,0.9148958333333334,0.21964122475228076,-0.08510416666666666,35132.0,38400.0,raw,2
Memory Lane,2026-W01,2,2026-W02,0.07114583333333334,0.9815625,0.21964122475228076,-0.0184375,37692.0,38400.0,raw,2
Memory Lane,2026-W02,1,2026-W02,0.1140625,0.8859375,0.21964122475228076,-0.1140625,34020.0,38400.0,raw,2
Moon Walk,2025-W51,4,2026-W02,0.6254927536231885,0.3745072463768116,0.2128857691487798,-0.6254927536231885,25841.0,69000.0,raw,2
Moon Walk,2025-W52,3,2026-W02,0.4514927536231884,0.5485072463768116,0.2128857691487798,-0.4514927536231884,37847.0,69000.0,raw,2
Moon Walk,2026-W01,2,2026-W02,0.3873623188405797,0.6126376811594203,0.2128857691487798,-0.3873623188405797,42272.0,69000.0,raw,2
Moon Walk,2026-W02,1,2026-W02,0.37721739130434784,0.6227826086956522,0.2128857691487798,-0.37721739130434784,42972.0,69000.0,raw,2
Odilia,2025-W51,4,2026-W02,0.22232558139534883,0.7776744186046511,0.13872479693558706,-0.22232558139534883,10868.0,13975.0,raw,1
Odilia,2025-W52,3,2026-W02,0.09774597495527729,0.9022540250447227,0.13872479693558706,-0.09774597495527729,12609.0,13975.0,raw,1
Odilia,2026-W01,2,2026-W02,0.2588908765652952,0.7411091234347048,0.13872479693558706,-0.2588908765652952,10357.0,13975.0,raw,1
Odilia,2026-W02,1,2026-W02,0.3548479427549195,0.6451520572450805,0.13872479693558706,-0.3548479427549195,9016.0,13975.0,raw,1
Pink Athena,2025-W51,4,2026-W02,0.788047229791099,0.211952770208901,0.3947796216190691,-0.788047229791099,35004.0,165150.0,raw,2
Pink Athena,2025-W52,3,2026-W02,0.6259582198001816,0.3740417801998184,0.3947796216190691,-0.6259582198001816,61773.0,165150.0,raw,2
Pink Athena,2026-W01,2,2026-W02,0.6298819255222525,0.3701180744777475,0.3947796216190691,-0.6298819255222525,61125.0,165150.0,raw,2
Pink Athena,2026-W02,1,2026-W02,0.41787465940054497,0.5821253405994551,0.3947796216190691,-0.41787465940054497,96138.0,165150.0,raw,2
Red Ribbon,2025-W51,4,2026-W02,0.14372670807453417,0.8562732919254659,0.019200411813914423,-0.14372670807453417,48251.0,56350.0,raw,4
Red Ribbon,2025-W52,3,2026-W02,0.16404614019520852,0.8359538598047915,0.019200411813914423,-0.16404614019520852,47106.0,56350.0,raw,4
Red Ribbon,2026-W01,2,2026-W02,0.14186335403726708,0.8581366459627329,0.019200411813914423,-0.14186335403726708,48356.0,56350.0,raw,4
Red Ribbon,2026-W02,1,2026-W02,0.1752972493345164,0.8247027506654836,0.019200411813914423,-0.1752972493345164,46472.0,56350.0,raw,4
Royal Athena,2025-W51,4,2026-W02,0.7660172413793104,0.23398275862068965,0.364082659145283,-0.7660172413793104,54284.0,232000.0,raw,3
Royal Athena,2025-W52,3,2026-W02,0.5237370689655172,0.47626293103448275,0.364082659145283,-0.5237370689655172,110493.0,232000.0,raw,3
Royal Athena,2026-W01,2,2026-W02,0.5541896551724138,0.4458103448275862,0.364082659145283,-0.5541896551724138,103428.0,232000.0,raw,3
Royal Athena,2026-W02,1,2026-W02,0.37157758620689657,0.6284224137931035,0.364082659145283,-0.37157758620689657,145794.0,232000.0,raw,3
Snow Flake,2025-W51,4,2026-W02,0.6899290780141843,0.3100709219858156,0.28163673728961414,-0.6899290780141843,4372.0,14100.0,raw,1
Snow Flake,2025-W52,3,2026-W02,0.3598581560283688,0.6401418439716312,0.28163673728961414,-0.3598581560283688,9026.0,14100.0,raw,1
