variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind,n_fields
Athena,2025-W51,4,2026-W02,0.2288473864515416,0.8717648358934689,0.05818070784586582,-0.1282351641065311,394430.0,452450.0,final,8
Athena,2025-W52,3,2026-W02,0.3004995027074815,0.7994496629461819,0.05818070784586582,-0.2005503370538181,361711.0,452450.0,final,8
Athena,2026-W02,1,2026-W02,0.25294949718200904,0.7820466349872914,0.05818070784586582,-0.2179533650127086,353837.0,452450.0,final,8
Charmant,2025-W51,4,2026-W02,0.2777388219765715,0.936804982676126,0.11057960115818459,-0.06319501732387395,227119.0,242440.0,final,6
Charmant,2025-W52,3,2026-W02,0.34253011054281474,0.7723601715888467,0.11057960115818459,-0.22763982841115327,187251.0,242440.0,final,6
Charmant,2026-W02,1,2026-W02,0.3096477478963867,0.7835546939448936,0.11057960115818459,-0.21644530605510642,189965.0,242440.0,final,6
Confidential,2025-W51,4,2026-W02,0.27636510500807754,0.7236348949919225,0.017685654553471986,-0.27636510500807754,44793.0,61900.0,final,2
Confidential,2025-W52,3,2026-W02,0.2515670436187399,0.7484329563812601,0.017685654553471986,-0.2515670436187399,46328.0,61900.0,final,2
Confidential,2026-W02,1,2026-W02,0.2568659127625202,0.7431340872374798,0.017685654553471986,-0.2568659127625202,46000.0,61900.0,final,2
Madam Red,2025-W51,4,2026-W02,0.7271072796934865,0.2728927203065134,0.7580368023877859,-0.7271072796934865,2849.0,10440.0,final,1
Madam Red,2025-W52,3,2026-W02,0.9423371647509579,0.057662835249042144,0.7580368023877859,-0.9423371647509579,602.0,10440.0,final,1
Madam Red,2026-W02,1,2026-W02,0.5467432950191571,0.4532567049808429,0.7580368023877859,-0.5467432950191571,4732.0,10440.0,final,1
Maritim,2025-W51,4,2026-W02,0.2167184265010352,1.2167184265010351,0.14984356009305297,0.2167184265010352,47014.0,38640.0,final,1
Maritim,2025-W52,3,2026-W02,0.2163302277432712,1.2163302277432713,0.14984356009305297,0.2163302277432712,46999.0,38640.0,final,1
Maritim,2026-W02,1,2026-W02,0.07406832298136647,0.9259316770186335,0.14984356009305297,-0.07406832298136647,35778.0,38640.0,final,1
Memory Lane,2025-W51,4,2026-W02,0.3134635416666667,0.796328125,0.14475662967359137,-0.203671875,30579.0,38400.0,final,2
Memory Lane,2025-W52,3,2026-W02,0.06325520833333333,1.0448177083333334,0.14475662967359137,0.04481770833333333,40121.0,38400.0,final,2
Memory Lane,2026-W02,1,2026-W02,0.152265625,1.0259635416666666,0.14475662967359137,0.025963541666666666,39397.0,38400.0,final,2
Moon Walk,2025-W51,4,2026-W02,0.22020289855072464,0.7797971014492754,0.0708847798512478,-0.22020289855072464,53806.0,69000.0,final,2
Moon Walk,2025-W52,3,2026-W02,0.16427536231884057,0.8357246376811595,0.0708847798512478,-0.16427536231884057,57665.0,69000.0,final,2
Moon Walk,2026-W02,1,2026-W02,0.10146376811594203,0.898536231884058,0.0708847798512478,-0.10146376811594203,61999.0,69000.0,final,2
Odilia,2025-W51,4,2026-W02,0.22232558139534883,0.7776744186046511,0.12255601779594118,-0.22232558139534883,10868.0,13975.0,final,1
Odilia,2025-W52,3,2026-W02,0.09774597495527729,0.9022540250447227,0.12255601779594118,-0.09774597495527729,12609.0,13975.0,final,1
Odilia,2026-W02,1,2026-W02,0.29023255813953486,0.7097674418604651,0.12255601779594118,-0.29023255813953486,9919.0,13975.0,final,1
Pink Athena,2025-W51,4,2026-W02,0.40619436875567666,0.5938056312443234,0.16264709986657455,-0.40619436875567666,98067.0,165150.0,final,2
Pink Athena,2025-W52,3,2026-W02,0.2994913714804723,0.7005086285195277,0.16264709986657455,-0.2994913714804723,115689.0,165150.0,final,2
Pink Athena,2026-W02,1,2026-W02,0.17677263094156828,0.8232273690584317,0.16264709986657455,-0.17677263094156828,135956.0,165150.0,final,2
Red Ribbon,2025-W51,4,2026-W02,0.0811357586512866,0.9188642413487134,0.025682370121591382,-0.0811357586512866,51778.0,56350.0,final,4
Red Ribbon,2025-W52,3,2026-W02,0.09717834960070985,0.9192546583850931,0.025682370121591382,-0.08074534161490683,51800.0,56350.0,final,4
Red Ribbon,2026-W02,1,2026-W02,0.20275066548358472,0.8787755102040816,0.025682370121591382,-0.12122448979591836,49519.0,56350.0,final,4
Royal Athena,2025-W51,4,2026-W02,0.20376724137931035,0.7962327586206897,0.08863135841587724,-0.20376724137931035,184726.0,232000.0,final,3
Royal Athena,2025-W52,3,2026-W02,0.2769698275862069,0.7230301724137931,0.08863135841587724,-0.2769698275862069,167743.0,232000.0,final,3
Royal Athena,2026-W02,1,2026-W02,0.332573275862069,0.667426724137931,0.08863135841587724,-0.332573275862069,154843.0,232000.0,final,3
Snow Flake,2025-W51,4,2026-W02,0.3426241134751773,0.6573758865248227,0.014884900427869508,-0.3426241134751773,9269.0,14100.0,final,1
Snow Flake,2025-W52,3,2026-W02,0.3598581560283688,0.6401418439716312,0.014884900427869508,-0.3598581560283688,9026.0,14100.0,final,1
Snow Flake,2026-W02,1,2026-W02,0.3435460992907801,0.6564539007092198,0.014884900427869508,-0.3435460992907801,9256.0,14100.0,final,1
Tacazzi,2025-W51,4,2026-W02,0.11325961538461539,0.9014134615384616,0.07588027300566909,-0.09858653846153846,93747.0,104000.0,final,3
Tacazzi,2025-W52,3,2026-W02,0.13177884615384616,0.8682211538461538,0.07588027300566909,-0.13177884615384616,90295.0,104000.0,final,3
Tacazzi,2026-W02,1,2026-W02,0.17961538461538462,1.0028269230769231,0.07588027300566909,0.002826923076923077,104294.0,104000.0,final,3
Tamara,2025-W51,4,2026-W02,0.12705173084402957,0.8729482691559705,0.04800899747846197,-0.12705173084402957,89774.0,102840.0,final,4
Tamara,2025-W52,3,2026-W02,0.0749611046285492,0.9250388953714508,0.04800899747846197,-0.0749611046285492,95131.0,102840.0,final,4
Tamara,2026-W02,1,2026-W02,0.0559315441462466,0.96073512252042,0.04800899747846197,-0.03926487747957993,98802.0,102840.0,final,4
Thriller,2025-W51,4,2026-W02,0.26012106537530266,0.7398789346246973,0.06357367357714326,-0.26012106537530266,91671.0,123900.0,final,3
Thriller,2025-W52,3,2026-W02,0.22144471347861178,0.7785552865213882,0.06357367357714326,-0.22144471347861178,96463.0,123900.0,final,3
Thriller,2026-W02,1,2026-W02,0.16100080710250203,0.838999192897498,0.06357367357714326,-0.16100080710250203,103952.0,123900.0,final,3
