variety_name,w+1_final_accuracy,w+3_final_accuracy,w+4_final_accuracy,w+1_final_wape,w+3_final_wape,w+4_final_wape
Amazing Magic,,2.721404303510759,,,1.7214043035107587,
Ariya,0.8155246765692381,1.7910876856732152,1.5126976521322473,0.18447532343076187,0.7910876856732152,0.5126976521322473
Asteae,0.8928908461780434,0.5863479081472162,1.151777288455489,0.10710915382195658,0.4136520918527839,0.3807801195344448
Athena,1.6372980910425845,1.1501992867631634,1.223515838053283,0.6372980910425844,0.1501992867631634,0.22351583805328298
Azore,0.9490905767297322,1.7320171830728452,2.321725619230418,0.7170276939950644,0.7320171830728452,1.3217256192304176
Babe,1.0226684735739806,0.986940988049772,1.501909572502156,0.06751262781815942,0.06726623136626833,0.501909572502156
Baby Follies,2.1065553942912434,1.6953313981615867,0.830793420416062,1.1065553942912434,0.6953313981615868,0.1692065795839381
Bandolero,1.07447082012169,1.2276116205330363,0.9196160767846431,0.07447082012168994,0.22761162053303624,0.08038392321535692
Belle Rose,0.7478346943825785,0.48997772828507796,1.1229893590695372,0.25216530561742145,0.5100222717149221,0.12298935906953724
Camaro,,1.1018418201516793,0.8524377031419285,,0.10184182015167931,0.1475622968580715
Cheyenne,1.141016333938294,1.412885662431942,2.092558983666062,0.14101633393829402,0.4128856624319419,1.0925589836660616
Chococcino,1.1913875598086126,1.4922913343965976,2.582668793195109,0.19138755980861244,0.49229133439659756,1.582668793195109
Destini,1.1597877358490567,1.7753537735849056,1.2143278301886793,0.15978773584905662,0.7753537735849056,0.21432783018867924
Dima Bombastic,0.9459038290293855,0.28187919463087246,0.5578806767586821,0.2513357079252004,0.7181208053691275,0.4421193232413179
Dinara,0.7771975630983464,0.7594647519582245,1.3817449956483898,0.2228024369016536,0.24053524804177545,0.38174499564838993
Downtown,0.7022379912663755,0.9208515283842795,0.9361353711790393,0.29776200873362446,0.07914847161572053,0.0638646288209607
Dynamite,0.6596723725381926,1.1492729615313824,1.3802687281428307,0.34032762746180745,0.14927296153138228,0.38026872814283086
Eyeliner,1.0234215885947047,1.0325865580448066,8.443991853360489,0.023421588594704685,0.032586558044806514,7.4439918533604885
Fire Flash,1.3664605873261206,2.4017001545595056,1.4132921174652242,0.3664605873261206,1.4017001545595054,0.4132921174652241
Fireworks,1.0759430427179615,0.8865136861639484,1.5569751257985083,0.12162306841297599,0.11348631383605154,0.5569751257985083
Flinders Lane,0.8505356676247714,0.6140580088842436,2.107917428795401,0.14946433237522863,0.38594199111575644,1.107917428795401
Gelato,1.1524371313256752,1.7160819621235641,1.8042533374728345,0.20459484632101832,0.7160819621235641,0.8042533374728346
Gentle Trend Setter,1.6196391600118307,1.505175983436853,2.881100266193434,0.6196391600118308,0.505175983436853,1.881100266193434
Gissele,0.9490594372431236,0.5378596269364527,1.026952260512172,0.2555722415428391,0.46214037306354727,0.2990041100221309
Grand Trend Setter,0.4718954248366013,0.3501891984864121,0.6644650842793257,0.5281045751633987,0.6498108015135879,0.33553491572067423
Impressionist,0.5351911396927475,1.0714540907466952,2.2765273311897105,0.4648088603072526,0.07145409074669525,1.2765273311897105
Julietta,1.078706455831649,1.7146593746284626,2.703126857686363,0.22898585186065867,0.7146593746284627,1.7031268576863632
Jumilia,2.264990328820116,2.992263056092843,3.5319148936170213,1.264990328820116,1.9922630560928434,2.5319148936170213
La Belle,1.0254584297667795,1.335232330425494,1.5365853658536586,0.02545842976677942,0.33523233042549405,0.5365853658536586
Lady Bombastic,0.8098024871982443,1.0046330163374786,1.387710314557425,0.19019751280175567,0.004633016337478664,0.387710314557425
Lady Of The Dawn,2.1823297692740575,2.1412492965672483,3.7619583567810917,1.1823297692740573,1.1412492965672483,2.7619583567810917
Leila,1.074928171782852,1.2270299145299146,1.041826923076923,0.07492817178285195,0.3230769230769231,0.23733974358974358
Lianne,0.8750451209240765,1.193959812296956,0.8881602695223199,0.12495487907592348,0.19395981229695583,0.5329683551919143
Madam Bombastic,0.8651064948724692,1.6276623718117276,2.5180120957139103,0.1348935051275309,0.6276623718117276,1.51801209571391
Madam Cerise,1.3124835511887007,1.360821124660058,2.118168260373717,0.31248355118870075,0.3608211246600579,1.118168260373717
Madam Pink,1.6571897211591033,0.5946783305995991,1.8443593949334791,0.6571897211591033,0.40532166940040093,0.8443593949334791
Madam Red,1.87624750499002,4.435928143712575,4.547305389221557,0.8762475049900199,3.435928143712575,3.547305389221557
Magic Avalanche,0.8163934426229508,0.7016393442622951,1.3514754098360655,0.18360655737704917,0.2983606557377049,0.35147540983606557
Maitai,0.8737033666969972,0.737761601455869,1.307916287534122,0.12629663330300273,0.262238398544131,0.3079162875341219
Marisa,1.0114204139900071,1.4759513231601313,1.524821325091752,0.011420413990007138,0.47595132316013133,0.524821325091752
Mirabel,2.506056129985229,5.183751846381093,11.649335302806499,1.5060561299852289,4.183751846381093,10.649335302806499
Miss Bombastic,0.41771640826873385,0.4138404392764858,0.322593669250646,0.5822835917312662,0.5861595607235142,0.677406330749354
Misty Bubbles,0.8231744115872058,0.5371152685576343,0.8020519010259505,0.1768255884127942,0.46288473144236575,0.1979480989740495
Moonwalk,1.0701714801444044,0.8625902527075813,0.901173285198556,0.07017148014440433,0.13740974729241878,0.09882671480144405
My Beauty,1.0068075117370892,1.8910798122065728,3.7443661971830986,0.006807511737089202,0.8910798122065727,2.7443661971830986
Nalani,1.3365155131264916,1.0755767700875098,1.449085123309467,0.33651551312649164,0.2903739061256961,0.652744630071599
Nathalie,0.6009710880600309,0.8611785477819466,1.4769366585742663,0.3990289119399691,0.13882145221805342,0.47693665857426615
New Orleans,0.3730964467005076,0.7043147208121827,4.624365482233503,0.6269035532994924,0.2956852791878173,3.6243654822335025
Odilia,0.9598134802882577,1.2965663416701991,1.9508690122933445,0.08783382789317508,0.29656634167019924,0.9508690122933446
Orange Strike,0.579731308411215,0.476148753894081,2.53631230529595,0.42026869158878505,0.523851246105919,1.5363123052959502
Paranita,1.1763905683192262,1.0415659008464329,1.9668984280532043,0.17639056831922612,0.04156590084643289,0.9668984280532044
Princess Peach,1.2487299329404593,1.2662060556797399,1.9351757772810405,0.24872993294045925,0.2662060556797399,0.9351757772810404
Reflex,0.9844800950683303,1.5676292335115865,2.124040404040404,0.18407605466428995,0.5676292335115865,1.124040404040404
Revival,0.48732636402692253,0.3548618072461693,0.8608525466609385,0.5126736359730775,0.6451381927538308,0.13914745333906153
Rowena,1.4557283402094574,2.1805775944144714,2.96794668359251,0.4557283402094573,1.1805775944144716,1.9679466835925103
Royal Park,1.2851063829787235,1.3148936170212766,1.7992263056092843,0.2851063829787234,0.3148936170212766,0.7992263056092843
Royal Porcelina,0.9541885625965997,1.7501700154559505,1.9079443585780524,0.06126738794435858,0.7501700154559505,0.9079443585780526
Salinero,1.1497155955514051,1.5539094999575516,2.0010187622039224,0.31365141353255793,0.5539094999575516,1.0010187622039222
Silver Shadow,0.9945839487936977,1.3217626784835057,1.5878877400295421,0.0054160512063023145,0.32176267848350565,0.5878877400295421
Smashing,,0.9226332744466382,0.6057362568845475,,0.07736672555336174,0.39426374311545254
Snow Storm,1.2757217593489634,1.0761480333268747,1.4702577019957372,0.27572175934896337,0.07614803332687464,0.47025770199573724
Snowflake,0.8151428571428572,1.0226857142857142,1.5805714285714285,0.2746857142857143,0.24897142857142857,0.8196571428571429
Snowy Blossoms,1.423244005641749,2.202031029619182,2.5407616361071934,0.42324400564174897,1.2020310296191818,1.5407616361071932
Sparkling Bubbles,0.7686691005642217,0.9731164951875207,1.1898440092930633,0.23133089943577828,0.026883504812479257,0.1898440092930634
Summer Dance,0.7801980198019802,0.6933521923620933,2.7093352192362095,0.2198019801980198,0.30664780763790667,1.7093352192362092
Summer Rose,1.0849006997532662,0.780204667718319,0.6681228006309914,0.08498159608461757,0.2519111758281762,0.4760344618371557
Summer Time,2.4877571008814887,2.3349657198824683,5.836434867776689,1.4877571008814887,1.3349657198824683,4.836434867776689
Sweet Gelato,0.7327356295749873,0.9138625659649322,0.9649889349146002,0.3716733813766101,0.099529024570164,0.3523236679339499
Sweet Revival,0.5675360968793666,0.7761993479273405,1.524375097034622,0.43246390312063343,0.3258034466697718,0.8471510634994566
Tarantella,1.1323569297531868,1.3311635475996746,0.8155682126390019,0.13235692975318689,0.33116354759967453,0.1844317873609981
Trinity,0.4456673383971477,0.9307084172996435,0.6380406138583166,0.5543326616028522,0.06929158270035653,0.36195938614168344
Uzuri,1.7528735632183907,2.5402298850574714,4.566091954022989,0.7528735632183908,1.5402298850574712,3.5660919540229883
Wedding Invite,0.9575850210164311,1.0823461979365685,0.8379824226213222,0.042414978983568975,0.0823461979365686,0.16201757737867786
