field_name,variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind
GH 18,Athena,2026-W01,2,2026-W02,0.24275114155251143,0.7572488584474886,0.2521870031408367,-0.24275114155251143,79602.0,105120.0,raw
GH 18,Athena,2026-W02,1,2026-W02,0.08593036529680366,1.0859303652968038,0.2521870031408367,0.08593036529680366,114153.0,105120.0,raw
GH 2,Athena,2026-W01,2,2026-W02,0.2651346332404828,0.7348653667595172,0.30533002162739986,-0.2651346332404828,126632.0,172320.0,raw
GH 2,Athena,2026-W02,1,2026-W02,0.13955431754874653,1.1395543175487466,0.30533002162739986,0.13955431754874653,196368.0,172320.0,raw
GH 26,Athena,2026-W01,2,2026-W02,0.593268113134444,0.406731886865556,0.396802623200798,-0.593268113134444,41991.0,103240.0,raw
GH 26,Athena,2026-W02,1,2026-W02,0.2760073614877954,0.7239926385122045,0.396802623200798,-0.2760073614877954,74745.0,103240.0,raw
GH 28,Athena,2026-W01,2,2026-W02,0.33460102659822677,0.6653989734017732,0.30651991186278427,-0.33460102659822677,57038.0,85720.0,raw
GH 28,Athena,2026-W02,1,2026-W02,0.033656089594027064,1.033656089594027,0.30651991186278427,0.033656089594027064,88605.0,85720.0,raw
GH 35,Athena,2026-W01,2,2026-W02,0.41037971805366075,0.5896202819463392,0.2550063619470641,-0.41037971805366075,51863.0,87960.0,raw
GH 35,Athena,2026-W02,1,2026-W02,0.15096634834015463,0.8490336516598453,0.2550063619470641,-0.15096634834015463,74681.0,87960.0,raw
GH 4,Athena,2026-W01,2,2026-W02,0.052089497041420116,0.9479105029585799,0.2186262172219172,-0.052089497041420116,51263.0,54080.0,raw
GH 4,Athena,2026-W02,1,2026-W02,0.29458210059171597,1.294582100591716,0.2186262172219172,0.29458210059171597,70011.0,54080.0,raw
GH 48,Athena,2026-W01,2,2026-W02,0.3361374407582938,1.3361374407582938,0.48139055136906056,0.3361374407582938,67662.0,50640.0,raw
GH 48,Athena,2026-W02,1,2026-W02,1.7151856240126382,2.7151856240126384,0.48139055136906056,1.7151856240126382,137497.0,50640.0,raw
