variety_name,w+1_final_accuracy,w+2_final_accuracy,w+3_final_accuracy,w+1_final_wape,w+2_final_wape,w+3_final_wape
Athena,0.9745895328269691,0.7658162522110082,0.6792134013109978,0.11646446779731558,0.2341837477889918,0.3473062116325044
Charmant,0.8586815415821502,0.7333515602216389,0.6752588218139399,0.1413184584178499,0.2867344706911636,0.4662620297462817
Confidential,0.9001768346595933,0.9615561450044209,0.6836604774535809,0.09982316534040672,0.03844385499557913,0.3163395225464191
Madam Red,1.1436769005847953,0.7537646198830409,0.6334795321637426,0.14367690058479532,0.24623538011695906,0.3665204678362573
Maritim,0.9189685314685314,0.713916083916084,0.9556468531468532,0.08103146853146853,0.2860839160839161,0.044353146853146855
Memory Lane,0.8896590909090909,0.9341666666666667,1.073996212121212,0.11034090909090909,0.19227272727272726,0.11850378787878788
Moon Walk,0.9772538392050587,1.0951219512195123,0.9893586269196025,0.07503161698283649,0.0951219512195122,0.01064137308039747
Odilia,0.7971513353115727,0.7240949554896142,0.5116913946587537,0.2028486646884273,0.2759050445103858,0.4883086053412463
Pink Athena,1.1544130521289295,0.8927735773975328,0.8633426183844011,0.15441305212892956,0.10722642260246718,0.1366573816155989
Red Ribbon,0.9413487133984029,0.8645075421472938,0.8801242236024844,0.15426796805678794,0.19991126885536822,0.1231410825199645
Royal Athena,1.2104868549172347,0.9616114897760467,0.774746835443038,0.21048685491723465,0.08202044790652385,0.3045715676728335
Snow Flake,0.9511111111111111,0.7391708126036485,0.5495854063018242,0.04888888888888889,0.2608291873963516,0.45041459369817577
Tacazzi,1.1018117048346057,1.014259541984733,0.8111959287531807,0.1018117048346056,0.04520101781170483,0.18880407124681933
Tamara,0.8903793103448275,1.09883908045977,1.0228045977011495,0.19224137931034482,0.11031034482758621,0.11770114942528735
Thriller,1.064118451025057,1.0018132118451024,0.7812574031890661,0.10207744874715262,0.28434624145785875,0.21874259681093394
