variety_name,w+1_raw_accuracy,w+2_raw_accuracy,w+3_raw_accuracy,w+4_raw_accuracy,w+1_raw_wape,w+2_raw_wape,w+3_raw_wape,w+4_raw_wape
Ariya,1.1423398959040507,2.090744512333107,7.38560760353021,7.727087576374745,0.1423398959040507,1.090744512333107,6.38560760353021,6.727087576374745
Asteae,1.1340353614144565,0.6314352574102964,1.203978159126365,0.9604784191367655,0.3248829953198128,0.36856474258970356,0.49466978679147167,0.29355174206968276
Athena,1.1435149055720306,0.9232870298111441,1.357031371936944,1.3172311534259404,0.1435149055720306,0.07671297018885594,0.35703137193694395,0.3172311534259404
Azore,1.3539978865797817,1.2883644475754374,2.7637665844781028,2.9572619466948455,0.3539978865797816,0.4055418574615475,1.7637665844781025,1.9572619466948455
Babe,0.8868214978917074,1.1415567900408272,1.422930192088883,1.4150324610133191,0.13191888093166454,0.14155679004082725,0.42293019208888294,0.41503246101331903
Baby Follies,1.1503392130257801,1.2256445047489823,1.3706919945725915,1.1640434192673,0.15033921302578018,0.22564450474898237,0.3706919945725916,0.16404341926729987
Bandolero,1.479136690647482,1.9093525179856115,2.818129496402878,3.1585611510791365,0.479136690647482,0.9093525179856116,1.8181294964028778,2.1585611510791365
Belle Rose,0.9823909531502423,0.5174474959612277,1.059773828756058,0.8445880452342488,0.017609046849757674,0.4825525040387722,0.05977382875605816,0.1554119547657512
Camaro,1.1257653483369188,0.7624248441723206,1.423796127751117,0.5068122897015831,0.12576534833691874,0.2375751558276794,0.42379612775111697,0.4931877102984169
Cheyenne,1.5366676032593425,1.9752739533576849,2.392245012644001,1.8314133183478505,0.5366676032593425,0.9752739533576847,1.3922450126440011,0.8314133183478505
Chococcino,2.4656771799628943,4.222634508348794,6.513914656771799,8.133580705009276,1.4656771799628943,3.222634508348794,5.513914656771799,7.133580705009276
Destini,1.1020996954640168,1.2861035422343323,1.1979483891649303,0.96393652828979,0.10209969546401666,0.28610354223433243,0.19794838916493027,0.03606347171020997
Dima Bombastic,1.5948945615982242,0.4184239733629301,6.268266085059978,15.196448390677025,0.5948945615982242,0.58157602663707,5.268266085059978,14.196448390677025
Dinara,2.0294980614062665,1.9739599706591218,2.339306297809913,2.0966677145551715,1.0294980614062663,0.9739599706591219,1.339306297809913,1.0966677145551713
Downtown,0.370129114807491,0.35826451087588695,3.752588112132139,5.120158194719088,0.629870885192509,0.641735489124113,2.752588112132139,4.120158194719088
Dynamite,1.075937415700027,1.1905853790126788,1.5737793363906123,1.3412462908011868,0.07593741570002698,0.19058537901267872,0.5737793363906124,0.34124629080118696
Eyeliner,1.4362292051756007,2.9085027726432533,5.758780036968576,9.199630314232902,0.43622920517560076,1.9085027726432533,4.758780036968576,8.199630314232902
Fire Flash,1.054973080192689,2.1226976480589403,3.184754888070275,2.4429016718617174,0.15018418815528478,1.1226976480589401,2.184754888070275,1.4429016718617171
Fireworks,1.1088458880442293,0.8309865238424327,4.023021769177609,3.19017795438839,0.1544574982722875,0.16901347615756737,3.0230217691776087,2.19017795438839
Flinders Lane,1.7562877753948138,1.4273737570676546,1.7523883798011308,2.19126535387015,0.7562877753948138,0.4273737570676545,0.7523883798011308,1.19126535387015
Gelato,1.4544066502671982,1.309101704979218,1.626770718466367,2.7157519721774537,0.45440665026719823,0.3091017049792179,0.626770718466367,1.7157519721774535
Gentle Trend Setter,1.1661482633488853,1.1127527216174184,2.111456713322965,3.076464489372732,0.16614826334888544,0.24961119751166408,1.1114567133229654,2.076464489372732
Gissele,0.8224531285294782,0.8276936977637226,1.4586853399593405,1.0587305172803252,0.29672464422859723,0.2819968375875311,0.4586853399593404,0.34632934266997967
Grand Trend Setter,0.8840976500114077,0.5007985398129136,0.8386949577914671,1.0890942276979239,0.1159023499885923,0.49920146018708644,0.16130504220853298,0.0890942276979238
Impressionist,1.0838823718463764,0.5760887031978146,1.6577213562590392,2.1206813434035032,0.08388237184637634,0.4239112968021854,0.657721356259039,1.1206813434035032
