variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind,n_fields
Athena,2025-W52,4,2026-W03,0.5258414436334145,0.5549493106244932,0.17301256939708717,-0.4450506893755069,273701.0,493200.0,raw,8
Athena,2026-W01,3,2026-W03,0.44022911597729114,0.6816078669910787,0.17301256939708717,-0.31839213300892133,336169.0,493200.0,raw,8
Athena,2026-W02,2,2026-W03,0.4627210056772101,0.5372789943227899,0.17301256939708717,-0.4627210056772101,264986.0,493200.0,raw,8
Athena,2026-W03,1,2026-W03,0.3366707218167072,0.7698661800486618,0.17301256939708717,-0.2301338199513382,379698.0,493200.0,raw,8
Charmant,2025-W52,4,2026-W03,0.2998629667694416,0.9661270983213429,0.2464851764831881,-0.03387290167865707,225610.0,233520.0,raw,6
Charmant,2026-W01,3,2026-W03,0.3482228502911956,0.8412855429941761,0.2464851764831881,-0.1587144570058239,196457.0,233520.0,raw,6
Charmant,2026-W02,2,2026-W03,0.5033144912641315,0.5116050017129153,0.2464851764831881,-0.4883949982870846,119470.0,233520.0,raw,6
Charmant,2026-W03,1,2026-W03,0.22339414182939363,0.8409001370332305,0.2464851764831881,-0.15909986296676945,196367.0,233520.0,raw,6
Confidential,2025-W52,4,2026-W03,0.3377909940526763,0.6622090059473237,0.1082307610055263,-0.3377909940526763,38971.0,58850.0,raw,2
Confidential,2026-W01,3,2026-W03,0.3531520815632965,0.6468479184367035,0.1082307610055263,-0.3531520815632965,38067.0,58850.0,raw,2
Confidential,2026-W02,2,2026-W03,0.2523194562446899,0.7476805437553101,0.1082307610055263,-0.2523194562446899,44001.0,58850.0,raw,2
Confidential,2026-W03,1,2026-W03,0.42577740016992355,0.5742225998300765,0.1082307610055263,-0.42577740016992355,33793.0,58850.0,raw,2
Madam Red,2025-W52,4,2026-W03,0.6372783687943262,0.36272163120567374,0.17810283391858886,-0.6372783687943262,8183.0,22560.0,raw,1
Madam Red,2026-W01,3,2026-W03,0.436613475177305,0.563386524822695,0.17810283391858886,-0.436613475177305,12710.0,22560.0,raw,1
Madam Red,2026-W02,2,2026-W03,0.53302304964539,0.46697695035460995,0.17810283391858886,-0.53302304964539,10535.0,22560.0,raw,1
Madam Red,2026-W03,1,2026-W03,0.4938386524822695,0.5061613475177305,0.17810283391858886,-0.4938386524822695,11419.0,22560.0,raw,1
Maritim,2025-W52,4,2026-W03,0.1652529761904762,1.1652529761904762,0.23752100963015946,0.1652529761904762,46983.0,40320.0,raw,1
Maritim,2026-W01,3,2026-W03,0.27780257936507935,1.2778025793650793,0.23752100963015946,0.27780257936507935,51521.0,40320.0,raw,1
Maritim,2026-W02,2,2026-W03,0.20716765873015874,0.7928323412698413,0.23752100963015946,-0.20716765873015874,31967.0,40320.0,raw,1
Maritim,2026-W03,1,2026-W03,0.16924603174603176,0.8307539682539683,0.23752100963015946,-0.16924603174603176,33496.0,40320.0,raw,1
Memory Lane,2025-W52,4,2026-W03,0.20966707768187423,0.9429346485819975,0.08368850963240339,-0.057065351418002466,38236.0,40550.0,raw,2
Memory Lane,2026-W01,3,2026-W03,0.2547225647348952,1.1383230579531443,0.08368850963240339,0.13832305795314426,46159.0,40550.0,raw,2
Memory Lane,2026-W02,2,2026-W03,0.07531442663378544,1.004340320591862,0.08368850963240339,0.004340320591861899,40726.0,40550.0,raw,2
Memory Lane,2026-W03,1,2026-W03,0.03630086313193588,0.9803205918618989,0.08368850963240339,-0.01967940813810111,39752.0,40550.0,raw,2
Moon Walk,2025-W52,4,2026-W03,0.5294117647058824,0.47058823529411764,0.2420358093058827,-0.5294117647058824,27200.0,57800.0,raw,2
Moon Walk,2026-W01,3,2026-W03,0.3636159169550173,0.6363840830449827,0.2420358093058827,-0.3636159169550173,36783.0,57800.0,raw,2
Moon Walk,2026-W02,2,2026-W03,0.3873010380622837,0.6126989619377162,0.2420358093058827,-0.3873010380622837,35414.0,57800.0,raw,2
Moon Walk,2026-W03,1,2026-W03,0.15282006920415225,0.8471799307958477,0.2420358093058827,-0.15282006920415225,48967.0,57800.0,raw,2
Odilia,2025-W52,4,2026-W03,0.07643564356435643,1.0764356435643565,0.31191520947306833,0.07643564356435643,19026.0,17675.0,raw,1
Odilia,2026-W01,3,2026-W03,0.10404526166902404,1.104045261669024,0.31191520947306833,0.10404526166902404,19514.0,17675.0,raw,1
Odilia,2026-W02,2,2026-W03,0.35451202263083453,0.6454879773691655,0.31191520947306833,-0.35451202263083453,11409.0,17675.0,raw,1
Odilia,2026-W03,1,2026-W03,0.3907213578500707,0.6092786421499293,0.31191520947306833,-0.3907213578500707,10769.0,17675.0,raw,1
Pink Athena,2025-W52,4,2026-W03,0.6378298555377208,0.3621701444622793,0.33513257810209157,-0.6378298555377208,56408.0,155750.0,raw,2
Pink Athena,2026-W01,3,2026-W03,0.4955634028892456,0.5044365971107544,0.33513257810209157,-0.4955634028892456,78566.0,155750.0,raw,2
Pink Athena,2026-W02,2,2026-W03,0.5953900481540931,0.4046099518459069,0.33513257810209157,-0.5953900481540931,63018.0,155750.0,raw,2
Pink Athena,2026-W03,1,2026-W03,0.2612905296950241,0.7387094703049759,0.33513257810209157,-0.2612905296950241,115054.0,155750.0,raw,2
Red Ribbon,2025-W52,4,2026-W03,0.1688385269121813,0.8311614730878187,0.06061929931679323,-0.1688385269121813,44010.0,52950.0,raw,4
Red Ribbon,2026-W01,3,2026-W03,0.09682719546742209,0.9031728045325779,0.06061929931679323,-0.09682719546742209,47823.0,52950.0,raw,4
Red Ribbon,2026-W02,2,2026-W03,0.16768649669499527,0.8323135033050048,0.06061929931679323,-0.16768649669499527,44071.0,52950.0,raw,4
Red Ribbon,2026-W03,1,2026-W03,0.22028328611898018,0.7797167138810198,0.06061929931679323,-0.22028328611898018,41286.0,52950.0,raw,4
Royal Athena,2025-W52,4,2026-W03,0.6600086040008604,0.3399913959991396,0.358282295955969,-0.6600086040008604,79031.0,232450.0,raw,3
Royal Athena,2026-W01,3,2026-W03,0.5289223488922349,0.4710776511077651,0.358282295955969,-0.5289223488922349,109502.0,232450.0,raw,3
Royal Athena,2026-W02,2,2026-W03,0.457698429769843,0.542301570230157,0.358282295955969,-0.457698429769843,126058.0,232450.0,raw,3
Royal Athena,2026-W03,1,2026-W03,0.20177242417724242,0.7982275758227576,0.358282295955969,-0.20177242417724242,185548.0,232450.0,raw,3
Snow Flake,2025-W52,4,2026-W03,0.2950322580645161,0.7049677419354838,0.1534746507575843,-0.2950322580645161,10927.0,15500.0,raw,1
Snow Flake,2026-W01,3,2026-W03,0.18625806451612903,0.813741935483871,0.1534746507575843,-0.18625806451612903,12613.0,15500.0,raw,1
Snow Flake,2026-W02,2,2026-W03,0.3218064516129032,0.6781935483870968,0.1534746507575843,-0.3218064516129032,10512.0,15500.0,raw,1
Snow Flake,2026-W03,1,2026-W03,0.44348387096774194,0.5565161290322581,0.1534746507575843,-0.44348387096774194,8626.0,15500.0,raw,1
Tacazzi,2025-W52,4,2026-W03,0.3424672390420244,0.6575327609579756,0.1325825407883865,-0.3424672390420244,72756.0,110650.0,raw,3
