variety_name,w+1_final_accuracy,w+2_final_accuracy,w+3_final_accuracy,w+4_final_accuracy,w+1_final_wape,w+2_final_wape,w+3_final_wape,w+4_final_wape
Athena,1.0173919371270557,0.8996827244942512,1.010013098530054,1.0550458448551885,0.16529471692621162,0.1601106098093436,0.06066656964051812,0.10610682578955029
Charmant,1.0201304200542005,0.9585873983739838,1.1620934959349594,1.1041370257452574,0.13787262872628725,0.22519478319783198,0.1892361111111111,0.18061907181571815
Confidential,1.2232811059907833,1.5150783410138249,0.9510967741935484,0.8784516129032258,0.2232811059907834,0.5150783410138249,0.07227649769585254,0.1215483870967742
Madam Red,1.6218775510204082,1.3402857142857143,0.804530612244898,0.9288163265306122,0.6218775510204082,0.3402857142857143,0.19546938775510203,0.07118367346938775
Maritim,1.3941339590443687,1.1409769624573378,1.1405076791808875,1.096608361774744,0.3941339590443686,0.14097696245733787,0.14050767918088738,0.09660836177474402
Memory Lane,1.0937209302325581,1.041528239202658,1.3747840531561462,1.1933887043189368,0.09372093023255813,0.16777408637873753,0.4140531561461794,0.22116279069767442
Moon Walk,0.7458419243986254,0.7046735395189003,1.0070446735395189,0.9414089347079038,0.25415807560137454,0.2953264604810997,0.026426116838487973,0.12127147766323024
Odilia,1.49465564738292,1.3087603305785125,1.021267217630854,0.92099173553719,0.4946556473829201,0.3087603305785124,0.021267217630853995,0.07900826446280992
Pink Athena,1.1042028985507246,0.8009006211180124,1.238768115942029,1.1505900621118013,0.10871635610766045,0.2069047619047619,0.24164596273291924,0.18688405797101448
Red Ribbon,1.0381178396072013,0.8855810147299509,0.8487888707037643,0.8120458265139117,0.11058919803600654,0.13032733224222587,0.1546481178396072,0.2378723404255319
Royal Athena,0.9963890654799745,0.8340559440559441,1.2004005085823268,1.0698347107438015,0.11618563254926892,0.19508582326764146,0.20040050858232678,0.1079020979020979
Snow Flake,1.4991183294663573,1.4870533642691415,0.9641763341067285,0.7612064965197216,0.4991183294663573,0.48705336426914153,0.03582366589327146,0.23879350348027842
Tacazzi,0.9295940594059406,0.9466237623762376,0.9792277227722772,0.9449207920792079,0.10533663366336633,0.07808910891089109,0.21318811881188118,0.21634653465346534
Tamara,0.9393494228751311,0.9819254984260231,1.0384312696747113,1.1629328436516264,0.08764428121720881,0.08124344176285414,0.11002098635886674,0.23166316894018887
Thriller,1.1444603629417383,1.0035721107927411,0.923658070678128,0.8913562559694365,0.296494746895893,0.2204393505253104,0.09286532951289399,0.10864374403056351
