field_name,variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind
GH 13 (F),Abeba,2026-W04,4,2026-W07,0.03757225433526012,0.9624277456647399,0.41953195207960553,-0.03757225433526012,333.0,346.0,raw
GH 13 (F),Abeba,2026-W05,3,2026-W07,0.8265895953757225,1.8265895953757225,0.41953195207960553,0.8265895953757225,632.0,346.0,raw
GH 13 (F),Abeba,2026-W06,2,2026-W07,0.0838150289017341,1.083815028901734,0.41953195207960553,0.0838150289017341,375.0,346.0,raw
GH 13 (F),Abeba,2026-W07,1,2026-W07,0.29190751445086704,0.708092485549133,0.41953195207960553,-0.29190751445086704,245.0,346.0,raw
GH 16 (A),Alicia,2026-W04,4,2026-W07,0.4543099726579364,0.5456900273420636,0.31866609051585953,-0.4543099726579364,3792.0,6949.0,raw
GH 16 (A),Alicia,2026-W05,3,2026-W07,0.2696790905166211,1.269679090516621,0.31866609051585953,0.2696790905166211,8823.0,6949.0,raw
GH 16 (A),Alicia,2026-W06,2,2026-W07,0.031515325946179305,0.9684846740538207,0.31866609051585953,-0.031515325946179305,6730.0,6949.0,raw
GH 16 (A),Alicia,2026-W07,1,2026-W07,0.05482803281047633,0.9451719671895237,0.31866609051585953,-0.05482803281047633,6568.0,6949.0,raw
GH 16 (B),Azore,2026-W04,4,2026-W07,0.541645633518425,1.541645633518425,0.14477514167689987,0.541645633518425,3054.0,1981.0,raw
GH 16 (B),Azore,2026-W05,3,2026-W07,0.6708732963149924,1.6708732963149924,0.14477514167689987,0.6708732963149924,3310.0,1981.0,raw
GH 16 (B),Azore,2026-W06,2,2026-W07,0.24129227662796568,1.2412922766279657,0.14477514167689987,0.24129227662796568,2459.0,1981.0,raw
GH 16 (B),Azore,2026-W07,1,2026-W07,0.27814235234729934,1.2781423523472994,0.14477514167689987,0.27814235234729934,2532.0,1981.0,raw
GH 18 (H),Azore,2026-W04,4,2026-W07,0.8867763298440504,1.8867763298440505,0.2780918849464299,0.8867763298440504,8832.0,4681.0,raw
GH 18 (H),Azore,2026-W05,3,2026-W07,0.6769920957060457,1.6769920957060458,0.2780918849464299,0.6769920957060457,7850.0,4681.0,raw
GH 18 (H),Azore,2026-W06,2,2026-W07,0.21576586199530015,1.2157658619953002,0.2780918849464299,0.21576586199530015,5691.0,4681.0,raw
GH 18 (H),Azore,2026-W07,1,2026-W07,0.014526810510574664,1.0145268105105747,0.2780918849464299,0.014526810510574664,4749.0,4681.0,raw
GH 20 (D),Azore,2026-W04,4,2026-W07,0.6037537274162428,1.6037537274162428,0.3277267162826838,0.6037537274162428,9143.0,5701.0,raw
GH 20 (D),Azore,2026-W05,3,2026-W07,0.43694088756358535,1.4369408875635854,0.3277267162826838,0.43694088756358535,8192.0,5701.0,raw
GH 20 (D),Azore,2026-W06,2,2026-W07,0.08226626907560078,0.9177337309243992,0.3277267162826838,-0.08226626907560078,5232.0,5701.0,raw
GH 20 (D),Azore,2026-W07,1,2026-W07,0.1975092089107174,0.8024907910892826,0.3277267162826838,-0.1975092089107174,4575.0,5701.0,raw
GH 13 (E),Babe,2026-W04,4,2026-W07,0.17346605744125326,0.8265339425587467,0.515388501908307,-0.17346605744125326,5065.0,6128.0,raw
GH 13 (E),Babe,2026-W05,3,2026-W07,0.6150456919060052,1.6150456919060052,0.515388501908307,0.6150456919060052,9897.0,6128.0,raw
GH 13 (E),Babe,2026-W06,2,2026-W07,0.13430156657963446,0.8656984334203656,0.515388501908307,-0.13430156657963446,5305.0,6128.0,raw
GH 13 (E),Babe,2026-W07,1,2026-W07,0.54177545691906,0.45822454308093996,0.515388501908307,-0.54177545691906,2808.0,6128.0,raw
GH 9 (F),Babe,2026-W04,4,2026-W07,0.4451860841423948,0.5548139158576052,0.4412832720687908,-0.4451860841423948,5486.0,9888.0,raw
GH 9 (F),Babe,2026-W05,3,2026-W07,0.2127831715210356,1.2127831715210355,0.4412832720687908,0.2127831715210356,11992.0,9888.0,raw
GH 9 (F),Babe,2026-W06,2,2026-W07,0.011225728155339806,0.9887742718446602,0.4412832720687908,-0.011225728155339806,9777.0,9888.0,raw
GH 9 (F),Babe,2026-W07,1,2026-W07,0.5356998381877023,0.4643001618122977,0.4412832720687908,-0.5356998381877023,4591.0,9888.0,raw
GH 12 (B),Bandolero,2026-W04,4,2026-W07,0.6089743589743589,1.608974358974359,0.18617729470598546,0.6089743589743589,7028.0,4368.0,raw
GH 12 (B),Bandolero,2026-W05,3,2026-W07,1.2662545787545787,2.266254578754579,0.18617729470598546,1.2662545787545787,9899.0,4368.0,raw
GH 12 (B),Bandolero,2026-W06,2,2026-W07,0.7598443223443223,1.7598443223443223,0.18617729470598546,0.7598443223443223,7687.0,4368.0,raw
