variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind,n_fields
Athena,2026-W04,4,2026-W07,0.10610682578955029,1.0550458448551885,0.06717440191241525,0.05504584485518847,362461.0,343550.0,final,8
Athena,2026-W05,3,2026-W07,0.06066656964051812,1.010013098530054,0.06717440191241525,0.01001309853005385,346990.0,343550.0,final,8
Athena,2026-W06,2,2026-W07,0.1601106098093436,0.8996827244942512,0.06717440191241525,-0.1003172755057488,309086.0,343550.0,final,8
Athena,2026-W07,1,2026-W07,0.16529471692621162,1.0173919371270557,0.06717440191241525,0.01739193712705574,349525.0,343550.0,final,8
Charmant,2026-W04,4,2026-W07,0.18061907181571815,1.1041370257452574,0.08470041296427569,0.10413702574525745,260753.0,236160.0,final,7
Charmant,2026-W05,3,2026-W07,0.1892361111111111,1.1620934959349594,0.08470041296427569,0.16209349593495934,274440.0,236160.0,final,7
Charmant,2026-W06,2,2026-W07,0.22519478319783198,0.9585873983739838,0.08470041296427569,-0.04141260162601626,226380.0,236160.0,final,7
Charmant,2026-W07,1,2026-W07,0.13787262872628725,1.0201304200542005,0.08470041296427569,0.020130420054200543,240914.0,236160.0,final,7
Confidential,2026-W04,4,2026-W07,0.1215483870967742,0.8784516129032258,0.25364135591106435,-0.1215483870967742,47656.0,54250.0,final,2
Confidential,2026-W05,3,2026-W07,0.07227649769585254,0.9510967741935484,0.25364135591106435,-0.048903225806451615,51597.0,54250.0,final,2
Confidential,2026-W06,2,2026-W07,0.5150783410138249,1.5150783410138249,0.25364135591106435,0.5150783410138249,82193.0,54250.0,final,2
Confidential,2026-W07,1,2026-W07,0.2232811059907834,1.2232811059907833,0.25364135591106435,0.2232811059907834,66363.0,54250.0,final,2
Madam Red,2026-W04,4,2026-W07,0.07118367346938775,0.9288163265306122,0.3205852269794889,-0.07118367346938775,22756.0,24500.0,final,1
Madam Red,2026-W05,3,2026-W07,0.19546938775510203,0.804530612244898,0.3205852269794889,-0.19546938775510203,19711.0,24500.0,final,1
Madam Red,2026-W06,2,2026-W07,0.3402857142857143,1.3402857142857143,0.3205852269794889,0.3402857142857143,32837.0,24500.0,final,1
Madam Red,2026-W07,1,2026-W07,0.6218775510204082,1.6218775510204082,0.3205852269794889,0.6218775510204082,39736.0,24500.0,final,1
Maritim,2026-W04,4,2026-W07,0.09660836177474402,1.096608361774744,0.11370497234005372,0.09660836177474402,51409.0,46880.0,final,1
Maritim,2026-W05,3,2026-W07,0.14050767918088738,1.1405076791808875,0.11370497234005372,0.14050767918088738,53467.0,46880.0,final,1
Maritim,2026-W06,2,2026-W07,0.14097696245733787,1.1409769624573378,0.11370497234005372,0.14097696245733787,53489.0,46880.0,final,1
Maritim,2026-W07,1,2026-W07,0.3941339590443686,1.3941339590443687,0.11370497234005372,0.3941339590443686,65357.0,46880.0,final,1
Memory Lane,2026-W04,4,2026-W07,0.22116279069767442,1.1933887043189368,0.12486377543336492,0.19338870431893687,35921.0,30100.0,final,2
Memory Lane,2026-W05,3,2026-W07,0.4140531561461794,1.3747840531561462,0.12486377543336492,0.37478405315614616,41381.0,30100.0,final,2
Memory Lane,2026-W06,2,2026-W07,0.16777408637873753,1.041528239202658,0.12486377543336492,0.04152823920265781,31350.0,30100.0,final,2
Memory Lane,2026-W07,1,2026-W07,0.09372093023255813,1.0937209302325581,0.12486377543336492,0.09372093023255813,32921.0,30100.0,final,2
Moon Walk,2026-W04,4,2026-W07,0.12127147766323024,0.9414089347079038,0.1732070383562159,-0.05859106529209622,54790.0,58200.0,final,2
