variety_name,w+2_raw_accuracy,w+3_raw_accuracy,w+4_raw_accuracy,w+2_raw_wape,w+3_raw_wape,w+4_raw_wape
Ariya,0.9613690274483226,1.658590308370044,1.8264994916977295,0.0386309725516774,0.6585903083700441,0.8264994916977296
Asteae,0.6482728175698047,1.1525217967111798,1.8142589118198875,0.35172718243019535,0.44167310451385056,1.1422580289151307
Athena,0.8471099902208039,0.8116990066395594,0.8891605332235318,0.15289000977919603,0.18830099336044057,0.11083946677646817
Azore,0.9619283865401208,2.4646246764452115,3.0360224331320103,0.22379206212251943,1.4646246764452113,2.0360224331320103
Babe,2.4380257992148064,2.4537296690970276,2.289399887829501,1.4380257992148064,1.4537296690970274,1.2893998878295008
Baby Follies,0.5573486263003468,0.9404507868765004,0.7921445718858362,0.44265137369965324,0.0595492131234996,0.20785542811416377
Bandolero,1.1286595515519435,2.021345344169196,2.5551747772446882,0.1286595515519436,1.0213453441691962,1.5551747772446882
Belle Rose,0.3611182223132456,0.5901387537760483,0.6299216629972864,0.6388817776867544,0.40986124622395165,0.37007833700271364
Camaro,1.613150684931507,1.614958904109589,1.3148493150684932,0.6131506849315068,0.6149589041095891,0.3148493150684932
Cheyenne,0.7333224463133828,1.536376255409488,1.4689311668163632,0.2666775536866171,0.5363762554094881,0.4689311668163632
Chococcino,1.2776470588235294,4.284705882352942,7.016470588235294,0.2776470588235294,3.284705882352941,6.016470588235294
Destini,0.7128146453089245,1.5156369183829137,0.9252479023646072,0.28718535469107553,0.5156369183829138,0.07475209763539283
Dima Bombastic,0.5431103948428686,10.094681708299758,3.7254901960784315,0.5866236905721193,9.094681708299758,2.7254901960784315
Dinara,1.1125226860254083,1.8825512056002074,2.0840895341802783,0.11252268602540835,0.8825512056002074,1.0840895341802783
Downtown,1.6437823834196892,4.080958549222798,5.839378238341969,0.6437823834196891,3.0809585492227978,4.839378238341969
Dynamite,4.000625782227785,4.7377972465581975,5.138297872340425,3.0006257822277846,3.737797246558198,4.138297872340425
Eyeliner,1.8928141308711361,2.9682858289843437,4.9478121236451225,0.892814130871136,1.9682858289843437,3.9478121236451225
Fire Flash,1.2186921018321553,1.191793041926851,1.1898716805050435,0.21869210183215534,0.19179304192685104,0.18987168050504358
Fireworks,1.097935749369441,1.9471658037966282,2.886399840700916,0.6225607327757865,0.9471658037966282,1.886399840700916
Flinders Lane,1.0459425323650142,0.9273760656772971,1.8329649510577835,0.04594253236501421,0.07262393432270288,0.8329649510577833
Gelato,0.7024185967011367,1.485257670284591,1.359029142808307,0.29758140329886335,0.48525767028459105,0.359029142808307
Gentle Trend Setter,0.9148338018852323,1.3877956011245245,2.1518108152803044,0.08516619811476765,0.39639490656523896,1.1518108152803044
Gissele,1.0033448811372596,1.5666786126707284,1.7076812806116355,0.33767371480906305,0.5666786126707283,0.7076812806116354
Grand Trend Setter,0.5698005698005698,0.7658119658119659,0.5484330484330484,0.4301994301994302,0.2341880341880342,0.4515669515669516
Impressionist,0.6373435326842837,1.041029207232267,1.8716968011126565,0.36265646731571627,0.04102920723226704,0.8716968011126565
Julietta,1.003539677313138,1.9585940072439907,3.596229832071123,0.39586763253210405,0.9585940072439908,2.596229832071123
Jumilia,0.3673594967865445,0.5870367838096541,0.8298919731984138,0.6326405032134554,0.412963216190346,0.1701080268015862
La Belle,0.6331834946980175,1.1557169202397417,1.6451129552789303,0.3722337482710927,0.15571692023974182,0.6451129552789304
Lady Bombastic,0.8850037869224944,1.444963393082555,1.502145922746781,0.11499621307750568,0.4449633930825549,0.5021459227467812
Lady Of The Dawn,0.3681580199904807,0.8162779628748215,0.772013326987149,0.6318419800095193,0.18372203712517848,0.22798667301285103
Leila,0.8842680608365019,1.544961977186312,1.768060836501901,0.27057984790874523,0.5449619771863118,0.7680608365019012
Lianne,0.8401894451962111,1.5884303112313938,1.743234100135318,0.2901217861975643,0.5884303112313938,0.9232070365358592
Madam Bombastic,2.0200675961132233,1.9340937896070975,2.9455006337135616,1.0200675961132235,0.9340937896070975,1.9455006337135614
Madam Cerise,0.949995273655355,1.0379052840533132,1.5310757160412136,0.20696663200680593,0.03790528405331317,0.5310757160412137
Madam Pink,1.01599404395153,0.7803450400492914,1.093448346683097,0.015994043951530087,0.21965495995070858,0.09344834668309715
Madam Red,1.0390653136453192,1.0650806092833083,1.8942863801029595,0.10935745609389234,0.06508060928330826,0.8942863801029596
Magic Avalanche,0.5766265803268579,0.8905334566759173,1.6623496762257168,0.4233734196731421,0.10946654332408264,0.6623496762257169
Maitai,0.901790817298533,1.3929319870451515,1.4882834825681082,0.09820918270146695,0.3929319870451515,0.4882834825681082
Marisa,1.8282671400044375,1.8289327712447305,1.5837585977368538,0.8282671400044376,0.8289327712447304,0.5837585977368538
Mirabel,1.5072663000785547,1.7453112725844462,2.99302827965436,0.5072663000785546,0.7453112725844462,1.9930282796543597
Miss Bombastic,0.8880526810912511,1.3142050799623706,1.3675133270617748,0.11194731890874883,0.3142050799623706,0.36751332706177486
Misty Bubbles,0.7271976888155179,0.5744944283945522,0.49277754849360295,0.27280231118448206,0.4255055716054478,0.507222451506397
Moonwalk,0.7315971487049192,1.4307996330016233,1.3227468416966617,0.2684028512950808,0.43079963300162327,0.32274684169666173
My Beauty,0.5140225179119754,1.8974411463664278,1.8552712384851586,0.48597748208802455,0.8974411463664278,0.8552712384851586
Nalani,0.41768045417680455,0.5854014598540146,0.6483373884833739,0.5823195458231955,0.4145985401459854,0.3516626115166261
Nathalie,0.5960988100617562,0.5225184515740322,0.8919264949540594,0.4039011899382437,0.47748154842596774,0.10807350504594065
Odilia,1.378349825685812,1.7321548050850442,3.170510969468606,0.3783498256858119,0.7321548050850442,2.170510969468606
Orange Strike,0.72216796875,1.1369280133928572,1.5078125,0.27783203125,0.13692801339285715,0.5078125
Paranita,1.6451914612676057,1.355193661971831,1.438050176056338,0.6451914612676056,0.355193661971831,0.438050176056338
Princess Peach,1.0169491525423728,1.1927966101694916,2.8114406779661016,0.07493309545049064,0.19279661016949154,1.8114406779661016
Reflex,1.2047759353158833,2.0917842949157186,2.9035562559956145,0.20477593531588323,1.0917842949157188,1.9035562559956147
Revival,0.8349436392914654,0.788647342995169,1.11256038647343,0.18003220611916265,0.2113526570048309,0.11256038647342995
Rowena,1.3930405019965773,1.8794447613614755,3.0020916524054004,0.3930405019965773,0.8794447613614755,2.0020916524054004
Royal Park,0.7582179930795848,2.108131487889273,3.596885813148789,0.24178200692041524,1.1081314878892734,2.596885813148789
Royal Porcelina,1.0874852883483719,2.6542434941807245,2.4843729567150517,0.33163332025630965,1.6542434941807245,1.4843729567150517
