field_name,variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind
GH 18,Athena,2026-W02,4,2026-W05,0.5832691971313626,0.4167308028686374,0.389466088320904,-0.5832691971313626,95298.0,228680.0,raw
GH 18,Athena,2026-W03,3,2026-W05,0.42237624628301557,0.5776237537169844,0.389466088320904,-0.42237624628301557,132091.0,228680.0,raw
GH 18,Athena,2026-W04,2,2026-W05,0.003922511806891726,1.0039225118068917,0.389466088320904,0.003922511806891726,229577.0,228680.0,raw
GH 18,Athena,2026-W05,1,2026-W05,0.04009970264124541,0.9599002973587546,0.389466088320904,-0.04009970264124541,219510.0,228680.0,raw
GH 2,Athena,2026-W02,4,2026-W05,0.5049545454545454,0.49504545454545457,0.36420913647733644,-0.5049545454545454,76237.0,154000.0,raw
GH 2,Athena,2026-W03,3,2026-W05,0.44961688311688314,0.5503831168831169,0.36420913647733644,-0.44961688311688314,84759.0,154000.0,raw
GH 2,Athena,2026-W04,2,2026-W05,0.04974025974025974,1.0497402597402596,0.36420913647733644,0.04974025974025974,161660.0,154000.0,raw
GH 2,Athena,2026-W05,1,2026-W05,0.06658441558441558,0.9334155844155844,0.36420913647733644,-0.06658441558441558,143746.0,154000.0,raw
GH 26,Athena,2026-W02,4,2026-W05,0.7296742957746479,0.2703257042253521,0.6897168281163267,-0.7296742957746479,30709.0,113600.0,raw
GH 26,Athena,2026-W03,3,2026-W05,0.7162147887323944,0.28378521126760564,0.6897168281163267,-0.7162147887323944,32238.0,113600.0,raw
GH 26,Athena,2026-W04,2,2026-W05,0.04022887323943662,0.9597711267605634,0.6897168281163267,-0.04022887323943662,109030.0,113600.0,raw
GH 26,Athena,2026-W05,1,2026-W05,0.16928697183098593,1.169286971830986,0.6897168281163267,0.16928697183098593,132831.0,113600.0,raw
GH 28,Athena,2026-W02,4,2026-W05,0.6692220884742702,0.3307779115257298,0.4001401440250949,-0.6692220884742702,43967.0,132920.0,raw
GH 28,Athena,2026-W03,3,2026-W05,0.4173638278663858,0.5826361721336142,0.4001401440250949,-0.4173638278663858,77444.0,132920.0,raw
GH 28,Athena,2026-W04,2,2026-W05,0.19343213963286188,0.8065678603671381,0.4001401440250949,-0.19343213963286188,107209.0,132920.0,raw
GH 28,Athena,2026-W05,1,2026-W05,0.0644974420704183,0.9355025579295817,0.4001401440250949,-0.0644974420704183,124347.0,132920.0,raw
GH 35,Athena,2026-W02,4,2026-W05,0.47785472453062483,0.5221452754693752,0.20384868088966823,-0.47785472453062483,67858.0,129960.0,raw
GH 35,Athena,2026-W03,3,2026-W05,0.4119190520160049,0.5880809479839951,0.20384868088966823,-0.4119190520160049,76427.0,129960.0,raw
GH 35,Athena,2026-W04,2,2026-W05,0.20907971683594953,0.7909202831640505,0.20384868088966823,-0.20907971683594953,102788.0,129960.0,raw
GH 35,Athena,2026-W05,1,2026-W05,0.21603570329332103,0.783964296706679,0.20384868088966823,-0.21603570329332103,101884.0,129960.0,raw
GH 4,Athena,2026-W02,4,2026-W05,0.5716392649903288,0.4283607350096712,0.3426293813145677,-0.5716392649903288,35434.0,82720.0,raw
GH 4,Athena,2026-W03,3,2026-W05,0.2889869439071567,0.7110130560928434,0.3426293813145677,-0.2889869439071567,58815.0,82720.0,raw
GH 4,Athena,2026-W04,2,2026-W05,0.028638781431334623,1.0286387814313347,0.3426293813145677,0.028638781431334623,85089.0,82720.0,raw
GH 4,Athena,2026-W05,1,2026-W05,0.07799806576402321,0.9220019342359768,0.3426293813145677,-0.07799806576402321,76268.0,82720.0,raw
GH 48,Athena,2026-W02,4,2026-W05,0.38401033973412113,0.6159896602658789,0.42292812507266914,-0.38401033973412113,50043.0,81240.0,raw
GH 48,Athena,2026-W03,3,2026-W05,0.0852658788774003,0.9147341211225997,0.42292812507266914,-0.0852658788774003,74313.0,81240.0,raw
GH 48,Athena,2026-W04,2,2026-W05,0.5485598227474151,1.548559822747415,0.42292812507266914,0.5485598227474151,125805.0,81240.0,raw
GH 48,Athena,2026-W05,1,2026-W05,0.6578902018709996,1.6578902018709996,0.42292812507266914,0.6578902018709996,134687.0,81240.0,raw
