field_name,variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind
GH 13 (F),Abeba,2026-W04,2,2026-W05,0.01881720430107527,1.0188172043010753,0.4276659570062968,0.01881720430107527,379.0,372.0,final
GH 13 (F),Abeba,2026-W05,1,2026-W05,0.4543010752688172,0.5456989247311828,0.4276659570062968,-0.4543010752688172,203.0,372.0,final
GH 16 (A),Alicia,2026-W02,4,2026-W05,0.7255541069100391,0.27444589308996087,0.5907852449538442,-0.7255541069100391,1684.0,6136.0,final
GH 16 (A),Alicia,2026-W03,3,2026-W05,0.26189700130378096,1.261897001303781,0.5907852449538442,0.26189700130378096,7743.0,6136.0,final
GH 16 (A),Alicia,2026-W04,2,2026-W05,0.14178617992177314,0.8582138200782269,0.5907852449538442,-0.14178617992177314,5266.0,6136.0,final
GH 16 (A),Alicia,2026-W05,1,2026-W05,0.48614732724902215,0.5138526727509778,0.5907852449538442,-0.48614732724902215,3153.0,6136.0,final
GH 16 (B),Azore,2026-W02,4,2026-W05,0.13134940995382247,1.1313494099538224,0.3753744373529419,0.13134940995382247,2205.0,1949.0,final
GH 16 (B),Azore,2026-W03,3,2026-W05,1.3991790661877885,2.3991790661877888,0.3753744373529419,1.3991790661877885,4676.0,1949.0,final
GH 16 (B),Azore,2026-W04,2,2026-W05,0.3637762955361724,1.3637762955361723,0.3753744373529419,0.3637762955361724,2658.0,1949.0,final
GH 16 (B),Azore,2026-W05,1,2026-W05,0.27603899435608004,1.2760389943560801,0.3753744373529419,0.27603899435608004,2487.0,1949.0,final
GH 18 (H),Azore,2026-W02,4,2026-W05,0.06625027883113986,0.9337497211688601,0.48547601867417806,-0.06625027883113986,4186.0,4483.0,final
GH 18 (H),Azore,2026-W03,3,2026-W05,1.7419138969440107,2.741913896944011,0.48547601867417806,1.7419138969440107,12292.0,4483.0,final
GH 18 (H),Azore,2026-W04,2,2026-W05,0.609413339281731,1.609413339281731,0.48547601867417806,0.609413339281731,7215.0,4483.0,final
GH 18 (H),Azore,2026-W05,1,2026-W05,0.2342181574838278,1.2342181574838278,0.48547601867417806,0.2342181574838278,5533.0,4483.0,final
GH 20 (D),Azore,2026-W02,4,2026-W05,0.19746568109820486,1.197465681098205,0.21542457954425479,0.19746568109820486,9072.0,7576.0,final
GH 20 (D),Azore,2026-W03,3,2026-W05,0.3867476240760296,1.3867476240760295,0.21542457954425479,0.3867476240760296,10506.0,7576.0,final
GH 20 (D),Azore,2026-W04,2,2026-W05,0.024947201689545933,0.9750527983104541,0.21542457954425479,-0.024947201689545933,7387.0,7576.0,final
GH 20 (D),Azore,2026-W05,1,2026-W05,0.14889123548046462,0.8511087645195353,0.21542457954425479,-0.14889123548046462,6448.0,7576.0,final
GH 13 (E),Babe,2026-W02,4,2026-W05,0.2959655066214968,0.7040344933785032,0.42375088592744586,-0.2959655066214968,4572.0,6494.0,final
GH 13 (E),Babe,2026-W03,3,2026-W05,0.039728980597474595,0.9602710194025255,0.42375088592744586,-0.039728980597474595,6236.0,6494.0,final
GH 13 (E),Babe,2026-W04,2,2026-W05,0.39528795811518325,0.6047120418848168,0.42375088592744586,-0.39528795811518325,3927.0,6494.0,final
GH 13 (E),Babe,2026-W05,1,2026-W05,0.6984909146904835,0.3015090853095165,0.42375088592744586,-0.6984909146904835,1958.0,6494.0,final
GH 9 (F),Babe,2026-W02,4,2026-W05,0.29988782251028295,0.7001121774897171,0.4173204928932844,-0.29988782251028295,5617.0,8023.0,final
GH 9 (F),Babe,2026-W03,3,2026-W05,0.6685778387136981,1.668577838713698,0.4173204928932844,0.6685778387136981,13387.0,8023.0,final
GH 9 (F),Babe,2026-W04,2,2026-W05,0.4575595163903777,1.4575595163903776,0.4173204928932844,0.4575595163903777,11694.0,8023.0,final
GH 9 (F),Babe,2026-W05,1,2026-W05,0.21039511404711456,0.7896048859528855,0.4173204928932844,-0.21039511404711456,6335.0,8023.0,final
GH 12 (B),Bandolero,2026-W02,4,2026-W05,1.1469512195121951,2.146951219512195,0.12689336235946633,1.1469512195121951,10563.0,4920.0,final
GH 12 (B),Bandolero,2026-W03,3,2026-W05,1.1367886178861788,2.136788617886179,0.12689336235946633,1.1367886178861788,10513.0,4920.0,final
GH 12 (B),Bandolero,2026-W04,2,2026-W05,0.8485772357723578,1.8485772357723578,0.12689336235946633,0.8485772357723578,9095.0,4920.0,final
GH 12 (B),Bandolero,2026-W05,1,2026-W05,0.6361788617886179,1.636178861788618,0.12689336235946633,0.6361788617886179,8050.0,4920.0,final
GH 13 (C),Bandolero,2026-W02,4,2026-W05,0.1414441147378833,0.8585558852621167,0.3793481170059041,-0.1414441147378833,868.0,1011.0,final
GH 13 (C),Bandolero,2026-W03,3,2026-W05,0.5568743818001978,1.5568743818001978,0.3793481170059041,0.5568743818001978,1574.0,1011.0,final
GH 13 (C),Bandolero,2026-W04,2,2026-W05,0.016815034619188922,0.9831849653808111,0.3793481170059041,-0.016815034619188922,994.0,1011.0,final
GH 13 (C),Bandolero,2026-W05,1,2026-W05,0.33926805143422356,0.6607319485657764,0.3793481170059041,-0.33926805143422356,668.0,1011.0,final
GH 10 (F),Bellalinda Cerise,2026-W02,4,2026-W05,0.6425591098748261,1.6425591098748262,0.19898247767977145,0.6425591098748261,1181.0,719.0,final
GH 10 (F),Bellalinda Cerise,2026-W03,3,2026-W05,0.7719054242002782,1.771905424200278,0.19898247767977145,0.7719054242002782,1274.0,719.0,final
GH 10 (F),Bellalinda Cerise,2026-W04,2,2026-W05,0.4937413073713491,1.493741307371349,0.19898247767977145,0.4937413073713491,1074.0,719.0,final
GH 10 (F),Bellalinda Cerise,2026-W05,1,2026-W05,0.08484005563282336,1.0848400556328233,0.19898247767977145,0.08484005563282336,780.0,719.0,final
GH 17 (B),Bellalinda Cerise,2026-W02,4,2026-W05,0.5885290800708877,0.4114709199291123,0.2303767827575724,-0.5885290800708877,5108.0,12414.0,final
