variety_name,w+3_raw_accuracy,w+4_raw_accuracy,w+3_raw_wape,w+4_raw_wape
Ariya,1.0856151880248266,1.7522818546914933,0.08561518802482658,0.7522818546914932
Asteae,1.2406654813309628,1.3663957327914655,0.32600965201930404,0.6409702819405639
Athena,0.6569027464831618,1.8394738444674503,0.3430972535168382,0.8394738444674502
Azore,0.7613327487943884,2.834984655852696,0.33003068829460763,1.834984655852696
Babe,2.2810663308144417,2.1353904282115868,1.2810663308144417,1.135390428211587
Baby Follies,0.49328205128205127,0.8144615384615385,0.5067179487179487,0.18553846153846154
Bandolero,1.6167230546157565,2.2379168680521992,0.6167230546157564,1.237916868052199
Belle Rose,0.6022144761123641,1.1748000820176339,0.39778552388763583,0.17480008201763378
Camaro,1.554963801281518,1.6113838728468004,0.5549638012815179,0.6113838728468004
Cheyenne,0.728648869796461,2.1777641403293444,0.2713511302035389,1.1777641403293444
Chococcino,1.2482758620689656,6.314942528735632,0.2482758620689655,5.314942528735632
Destini,0.6667360099854379,1.0282920740586645,0.3332639900145621,0.02829207405866445
Dima Bombastic,0.8729066985645934,11.50627990430622,0.5535287081339713,10.50627990430622
Dinara,1.147204599524187,2.2243259318001587,0.14720459952418716,1.2243259318001587
Downtown,1.858373205741627,4.499202551834131,0.8583732057416268,3.4992025518341308
Dynamite,1.8994276369582992,1.818206595802671,0.8994276369582993,0.8182065958026711
Eyeliner,1.8970514742628686,6.403798100949525,0.8970514742628686,5.403798100949525
Fire Flash,2.010099823840282,1.7190839694656488,1.0100998238402819,0.7190839694656489
Fireworks,2.0606037820970715,2.5323508402571524,1.0606037820970713,1.5323508402571526
Flinders Lane,0.4828273875470862,1.738533126523377,0.5171726124529138,0.7385331265233769
Gelato,0.6579917588375623,1.157015831706788,0.3986120147473433,0.4007807417046194
Gentle Trend Setter,0.8181222707423581,2.896069868995633,0.6155021834061135,1.8960698689956332
Gissele,1.7254569253890533,1.9926310175982935,0.7254569253890532,0.9926310175982935
Grand Trend Setter,0.5907747519527127,0.5537259869115474,0.4092252480472873,0.4462740130884526
Impressionist,0.3157894736842105,0.9997607655502392,0.6842105263157895,0.00023923444976076556
Julietta,1.1211418634980437,2.405810752064918,0.32488045210839006,1.4058107520649181
