variety_name,w+1_final_accuracy,w+2_final_accuracy,w+3_final_accuracy,w+4_final_accuracy,w+1_final_wape,w+2_final_wape,w+3_final_wape,w+4_final_wape
Ariya,1.2701715954728003,1.9835706462212486,1.0856151880248266,1.7522818546914933,0.2701715954728003,0.9835706462212487,0.08561518802482658,0.7522818546914932
Asteae,0.8943357886715774,0.913258826517653,1.2406654813309628,0.762001524003048,0.16560833121666244,0.16802133604267208,0.32600965201930404,0.23799847599695198
Athena,1.2563790268558552,1.4641617441081543,0.6569027464831618,1.090006698739419,0.2563790268558553,0.4641617441081542,0.3430972535168382,0.09000669873941904
Azore,0.8144673388864533,0.7762384918895221,0.7613327487943884,1.488031565103025,0.3493204734765454,0.3736957474791758,0.33003068829460763,0.488031565103025
Babe,1.1842989084802686,1.5272879932829555,2.2810663308144417,2.0648614609571787,0.30268681780016793,0.5474391267842149,1.2810663308144417,1.064861460957179
Baby Follies,0.7208205128205128,1.1503076923076923,0.49328205128205127,0.8144615384615385,0.2791794871794872,0.1503076923076923,0.5067179487179487,0.18553846153846154
Bandolero,1.2280086998550024,1.8007491541807636,1.6167230546157565,1.7397293378443692,0.2280086998550024,0.8007491541807636,0.6167230546157564,0.7397293378443692
Belle Rose,1.484826737748616,0.6086733647734263,0.6022144761123641,0.5870412138609801,0.48482673774861595,0.39132663522657374,0.39778552388763583,0.4129587861390199
Camaro,1.1809935924107515,1.0213031538653574,1.554963801281518,0.8716817841391362,0.18099359241075144,0.02130315386535741,0.5549638012815179,0.12831821586086378
Cheyenne,1.2036411987317173,1.2579523371177252,0.728648869796461,0.8890252633732229,0.2036411987317173,0.25795233711772525,0.2713511302035389,0.11097473662677713
Chococcino,1.232183908045977,1.1563218390804597,1.2482758620689656,6.314942528735632,0.23218390804597702,0.15632183908045977,0.2482758620689655,5.314942528735632
Destini,1.3646765134179322,1.0971499895985022,0.6667360099854379,0.9893904722280008,0.36467651341793217,0.09714998959850218,0.3332639900145621,0.010609527771999168
Dima Bombastic,0.7888755980861244,0.7320574162679426,0.8729066985645934,3.8238636363636362,0.43241626794258375,0.9055023923444976,0.5535287081339713,2.8238636363636362
Dinara,1.1492862807295796,0.8925455987311658,1.147204599524187,1.3345559080095162,0.1492862807295797,0.10745440126883427,0.14720459952418716,0.33455590800951623
Downtown,0.9355661881977672,1.4232854864433813,1.858373205741627,1.2481658692185007,0.06443381180223286,0.42328548644338115,0.8583732057416268,0.24816586921850078
Dynamite,0.4475333878440992,0.7833197056418643,1.8994276369582992,1.818206595802671,0.5524666121559008,0.21668029435813574,0.8994276369582993,0.8182065958026711
Eyeliner,1.497751124437781,1.9415292353823088,1.8970514742628686,3.3853073463268366,0.49775112443778113,0.9415292353823088,0.8970514742628686,2.3853073463268366
Fire Flash,1.8005871990604816,1.7049911920140928,2.010099823840282,1.3442160892542572,0.8005871990604815,0.7049911920140928,1.0100998238402819,0.6542571931884908
Fireworks,1.2027895785555849,1.2149704876123162,1.9961276739727059,1.7370953795255462,0.47001766983721194,0.5033271927516072,0.9961276739727057,0.737095379525546
Flinders Lane,1.4287613560824286,1.78041214269887,0.4828273875470862,1.0443164192333259,0.42876135608242855,0.7804121426988699,0.5171726124529138,0.044316419233325945
Gelato,1.3709607460420734,1.6052916937757535,0.8782259813489481,0.8780091086532206,0.3709607460420733,0.6052916937757536,0.33864671437865973,0.43038386467143785
Gentle Trend Setter,1.3131004366812227,1.754585152838428,0.9253275109170306,1.580349344978166,0.3131004366812227,0.754585152838428,0.508296943231441,0.5803493449781659
Gissele,1.3265137926019295,1.3586076501672566,1.2597566296601541,1.851796189460416,0.35026906481795705,0.548068066126921,0.5236825519949581,0.8517961894604159
Grand Trend Setter,0.6485117162761241,0.4054253747097319,0.5907747519527127,0.5537259869115474,0.35148828372387586,0.594574625290268,0.4092252480472873,0.4462740130884526
Impressionist,0.6236842105263158,0.4983253588516746,1.073444976076555,0.9997607655502392,0.3763157894736842,0.5016746411483254,0.07344497607655502,0.00023923444976076556
Julietta,1.0357919142153311,0.8993624112447471,0.8040863642950297,1.7684393566149834,0.16026662802492392,0.21569337777133749,0.2432980727430807,0.8133603825532532
Jumilia,1.9948090470893585,3.1683351872450873,1.1375602521319985,1.1446051167964404,0.9948090470893586,2.1683351872450873,0.13756025213199852,0.1446051167964405
La Belle,1.6074439319230158,0.9895164741121095,0.5277556863368856,0.9837760458088118,0.6074439319230157,0.022250748823277707,0.47224431366311437,0.016223954191188165
Lady Bombastic,1.4870466321243523,1.799954944807389,1.774724036945258,2.9062851993692274,0.48704663212435234,0.799954944807389,0.7747240369452579,1.9062851993692274
Lady Of The Dawn,0.8694276675294794,0.012079378774805867,0.012079378774805867,0.0060396893874029335,0.13057233247052055,0.9879206212251941,0.9879206212251941,0.993960310612597
Leila,1.0737998566993074,0.9526152376403153,0.960687843324576,1.0975400047766897,0.2379269166467638,0.08034392166228803,0.17640315261523765,0.09754000477668975
Lianne,0.8603459645918937,0.8516207578755136,0.8991021153553492,0.6533759448079948,0.5138233652919393,0.33150712727641657,0.2793587987622381,0.3791913965403541
Madam Bombastic,1.2708333333333333,2.8036971830985915,2.512030516431925,2.473004694835681,0.2708333333333333,1.8036971830985915,1.512030516431925,1.4730046948356808
Madam Cerise,1.533078235212761,1.2230879166474575,1.1958876953575215,0.8525194781245677,0.5330782352127611,0.22308791664745747,0.4003042736618874,0.4769259139735374
Madam Pink,2.0831130379612985,1.2271333403827853,1.465581051073279,2.0513905043882836,1.0831130379612985,0.22713334038278524,0.4655810510732791,1.0513905043882839
Madam Red,1.958851089834997,1.536022272017383,1.8524478848373735,2.0310314388538058,0.9588510898349969,0.5360222720173831,0.8524478848373735,1.031031438853806
Magic Avalanche,1.4427333974975938,0.8152069297401348,3.2781520692974015,2.372473532242541,0.44273339749759383,0.18479307025986524,2.2781520692974015,1.372473532242541
Maitai,1.2648095909732018,0.6685472496473907,1.426657263751763,1.3452045133991537,0.26480959097320167,0.3314527503526093,0.42665726375176305,0.34520451339915376
Marisa,1.481168473268418,2.1186845489619697,2.0593422744809846,1.4363402535366525,0.48116847326841816,1.1186845489619694,1.0593422744809848,0.43634025353665257
Mirabel,2.386117136659436,2.165341046035189,3.436330039366916,2.889451273399213,1.4711175383626576,1.1841407568088695,2.436330039366916,1.8894512733992126
Miss Bombastic,1.6018306636155606,0.7336384439359268,1.880549199084668,0.9835240274599543,0.6018306636155606,0.26636155606407325,0.8805491990846682,0.016475972540045767
Misty Bubbles,0.9262357414448669,0.5342205323193916,0.6787072243346007,0.5269961977186312,0.07376425855513308,0.46577946768060835,0.32129277566539927,0.47300380228136885
Moonwalk,1.1572243007304472,0.4563513272759665,1.629966150008908,1.9461072510244077,0.1572243007304472,0.5436486727240335,0.6299661500089079,0.9461072510244076
My Beauty,0.8420870168140059,0.6531461258450338,0.6262783844687121,1.3191194314439245,0.15791298318599412,0.3468538741549662,0.3737216155312879,0.3191194314439244
Nalani,1.9894453177633056,1.0837637547720638,0.47720637772288343,0.48686278913092296,0.9894453177633057,0.24545250392993487,0.5227936222771166,0.513137210869077
Nathalie,1.552051282051282,1.3843589743589744,1.0610256410256411,1.3555128205128204,0.5520512820512821,0.38435897435897437,0.06102564102564102,0.3555128205128205
Odilia,1.0013316943249335,1.0755309704295568,1.164276446083453,1.2520316874957318,0.07208222358806256,0.1504473127091443,0.16427644608345285,0.37570852967288126
Orange Strike,0.8953068592057761,0.9246069556931872,1.8655312053358741,2.0126250595521675,0.10469314079422383,0.1587660790852787,0.8655312053358742,1.0226298237255835
Paranita,1.7111290975313638,2.1291784702549577,1.402994738972076,1.0090651558073653,0.7111290975313638,1.1291784702549574,0.4029947389720761,0.009065155807365438
Princess Peach,1.0190916736753575,0.9704793944491169,0.9387720773759461,1.9725820016820859,0.267367535744323,0.16206896551724137,0.06122792262405383,0.9725820016820858
Reflex,1.0224216620210127,1.02205409379116,2.4095629001133334,2.383404294422152,0.0868686249885135,0.16932643121879498,1.4095629001133336,1.383404294422152
Revival,0.8975741239892183,0.2693892081574531,1.0697757208971164,0.563189747241011,0.13975486955195035,0.730610791842547,0.28012002237705336,0.43681025275898894
