variety_name,w+1_final_accuracy,w+2_final_accuracy,w+3_final_accuracy,w+4_final_accuracy,w+1_final_wape,w+2_final_wape,w+3_final_wape,w+4_final_wape
Abeba,0.8324468085106383,0.7340425531914894,1.303191489361702,1.0877659574468086,0.1675531914893617,0.26595744680851063,0.30319148936170215,0.08776595744680851
Alicia,1.468716372021522,0.8802459646425826,0.8665641813989239,0.9520368946963874,0.4687163720215219,0.11975403535741737,0.1334358186010761,0.047963105303612606
Azore,0.9550335991961314,0.6568840117391859,0.985492683539534,1.2239527727187087,0.0704641085222634,0.3431159882608141,0.2670979086855492,0.25711235319977394
Babe,0.974337816651539,0.8777951976235663,0.7970129548642627,0.9211156035976565,0.025662183348461095,0.1222048023764337,0.24011882168495752,0.16189454575460022
Bandolero,0.8415575304022451,1.0519176800748362,0.9264499532273153,0.6875584658559402,0.27163236669784846,0.0519176800748363,0.07355004677268476,0.3124415341440599
Bellalinda Cerise,0.9101663585951941,0.5450015571473061,0.68120764017252,0.8074553296364757,0.12298213185459027,0.45499844285269386,0.6471965495995071,0.4568699938385706
Birds Nest,1.407960199004975,1.1144278606965174,2.4813432835820897,2.084577114427861,0.4079601990049751,0.11442786069651742,1.4813432835820894,1.0845771144278606
Blue Moon,0.8987816307403936,0.669165885660731,0.8462980318650422,1.1611996251171508,0.10121836925960637,0.33083411433926896,0.15370196813495782,0.16119962511715089
Bonnieux!,3.037837837837838,0.35315315315315315,1.2612612612612613,0.6126126126126126,2.037837837837838,0.6468468468468469,0.26126126126126126,0.38738738738738737
Chazay!,0.8563829787234043,0.5351063829787234,0.6553191489361702,1.4414893617021276,0.14361702127659576,0.4648936170212766,0.3446808510638298,0.44148936170212766
Dinara,1.094663063671677,0.9023391319033947,1.4306282722513088,1.1346478635365647,0.13941901705792942,0.0976608680966053,0.5093311940550582,0.5938608343185273
Dominica,1.704939063502245,1.6029506093649775,1.617062219371392,0.8800513149454778,0.704939063502245,0.6029506093649776,0.6170622193713919,0.11994868505452214
Eileen,0.6726078799249531,0.5593079007713154,0.308317698561601,0.00839066082968522,0.3273921200750469,0.4406920992286846,0.691682301438399,0.9916093391703148
Elba!,1.223984771573604,,1.0348984771573604,0.626269035532995,0.22398477157360405,,0.03489847715736041,0.3737309644670051
Eva,2.5714285714285716,,7.01058201058201,2.619047619047619,1.5714285714285714,,6.01058201058201,1.619047619047619
Fellini,0.8108935128518971,1.2727272727272727,1.0645654834761322,1.8451652386780906,0.22827417380660955,0.2727272727272727,0.0645654834761322,0.8451652386780906
Fiction,0.762981278700106,,1.6414694454256447,2.341575415047686,0.23701872129989404,,0.6414694454256447,1.3415754150476864
Fire Works,0.48583077128726104,0.692955487234327,0.9280510626921534,0.9931251663266212,0.550594840261997,0.37140756583344475,0.1367798422670766,0.13656524438924864
Frivolity,2.7967914438502675,2.9946524064171123,4.352941176470588,1.8716577540106951,1.7967914438502675,1.9946524064171123,3.3529411764705883,0.8716577540106952
Glorious,1.0561491495856956,0.8680767553423463,1.0906018316615786,1.0467727867422592,0.0561491495856956,0.13192324465765373,0.09060183166157872,0.04677278674225905
Hot Desire,1.5742574257425743,2.363861386138614,3.5693069306930694,1.2475247524752475,0.5742574257425742,1.363861386138614,2.5693069306930694,0.24752475247524752
In Love,1.1787671232876713,2.541095890410959,7.8780821917808215,3.164383561643836,0.17876712328767122,1.5410958904109588,6.8780821917808215,2.164383561643836
Isabella!,1.6221374045801527,1.3358778625954197,1.8969465648854962,2.0438931297709924,0.6221374045801527,0.33587786259541985,0.8969465648854962,1.0438931297709924
Jacinda,0.5416619559072923,0.6367439231204071,0.7319389485585076,0.9806105144149236,0.45833804409270773,0.363256076879593,0.2680610514414924,0.11006218202374222
