variety_name,w+1_raw_accuracy,w+2_raw_accuracy,w+3_raw_accuracy,w+4_raw_accuracy,w+1_raw_wape,w+2_raw_wape,w+3_raw_wape,w+4_raw_wape
Abeba,0.8324468085106383,0.7340425531914894,1.303191489361702,1.0877659574468086,0.1675531914893617,0.26595744680851063,0.30319148936170215,0.08776595744680851
Alicia,1.468716372021522,0.8802459646425826,0.8665641813989239,0.9520368946963874,0.4687163720215219,0.11975403535741737,0.1334358186010761,0.047963105303612606
Azore,0.9550335991961314,0.8048106512591848,1.0864786786409597,1.2239527727187087,0.0704641085222634,0.21754694467123029,0.3680839037869748,0.25711235319977394
Babe,0.974337816651539,0.8777951976235663,1.542041422559617,0.9211156035976565,0.025662183348461095,0.1222048023764337,0.5420414225596172,0.16189454575460022
Bandolero,0.8415575304022451,1.0519176800748362,0.9264499532273153,0.737488306828812,0.27163236669784846,0.0519176800748363,0.07355004677268476,0.262511693171188
Bellalinda Cerise,0.9101663585951941,0.5292667898952557,0.8691312384473198,0.8074553296364757,0.12298213185459027,0.5585951940850278,0.45927295132470736,0.4568699938385706
Birds Nest,1.407960199004975,2.0808457711442787,1.9713930348258706,2.084577114427861,0.4079601990049751,1.0808457711442787,0.9713930348258707,1.0845771144278606
Blue Moon,0.8987816307403936,1.331771321462043,2.07029053420806,1.1611996251171508,0.10121836925960637,0.33177132146204313,1.07029053420806,0.16119962511715089
Bonnieux!,3.037837837837838,1.3837837837837839,1.2612612612612613,0.6126126126126126,2.037837837837838,0.3837837837837838,0.26126126126126126,0.38738738738738737
Chazay!,0.8563829787234043,0.5351063829787234,1.1106382978723404,1.4414893617021276,0.14361702127659576,0.4648936170212766,0.11063829787234042,0.44148936170212766
Dinara,1.094663063671677,1.377934470528627,1.4306282722513088,1.1346478635365647,0.13941901705792942,0.4168637054551596,0.5093311940550582,0.5938608343185273
Dominica,1.704939063502245,0.949326491340603,1.617062219371392,0.8800513149454778,0.704939063502245,0.05067350865939705,0.6170622193713919,0.11994868505452214
Eileen,0.6726078799249531,0.5593079007713154,0.308317698561601,0.00839066082968522,0.3273921200750469,0.4406920992286846,0.691682301438399,0.9916093391703148
Elba!,1.223984771573604,0.7963197969543148,1.0348984771573604,1.0596446700507614,0.22398477157360405,0.2036802030456853,0.03489847715736041,0.05964467005076142
Eva,2.5714285714285716,6.777777777777778,7.01058201058201,2.619047619047619,1.5714285714285714,5.777777777777778,6.01058201058201,1.619047619047619
Fellini,0.8108935128518971,0.8644430844553244,1.655140758873929,1.8451652386780906,0.22827417380660955,0.18512851897184823,0.655140758873929,0.8451652386780906
Fiction,0.762981278700106,2.0,1.6414694454256447,2.341575415047686,0.23701872129989404,1.0,0.6414694454256447,1.3415754150476864
Fire Works,0.48583077128726104,0.8869803502205588,0.9280510626921534,1.2114356369469321,0.550594840261997,0.17738270284721294,0.1367798422670766,0.31950942387381365
Frivolity,2.7967914438502675,4.438502673796791,4.352941176470588,1.8716577540106951,1.7967914438502675,3.4385026737967914,3.3529411764705883,0.8716577540106952
Glorious,1.0561491495856956,0.8680767553423463,1.5814435237679896,1.0467727867422592,0.0561491495856956,0.13192324465765373,0.5814435237679896,0.04677278674225905
Hot Desire,1.5742574257425743,2.363861386138614,5.191831683168317,1.2475247524752475,0.5742574257425742,1.363861386138614,4.191831683168317,0.24752475247524752
In Love,1.1787671232876713,6.163698630136986,9.148630136986302,3.164383561643836,0.17876712328767122,5.163698630136986,8.148630136986302,2.164383561643836
Isabella!,1.6221374045801527,2.045801526717557,2.604961832061069,2.0438931297709924,0.6221374045801527,1.0458015267175573,1.6049618320610688,1.0438931297709924
Jacinda,0.5416619559072923,0.6367439231204071,1.2386659129451667,1.2398530243075183,0.45833804409270773,0.363256076879593,0.49327303561334085,0.3693046919163369
